year,month,rank,song_title,artist_name
1975,10,20,SING A LITTLE SONG,DESMOND DEKKER
1975,10,21,SUMMERTIME CITY,MIKE BATT WITH NEW EDITION
1975,10,22,A CHILD'S PRAYER,HOT CHOCOLATE
1975,10,23,FEELINGS,MORRIS ALBERT
1975,10,24,PANDORA'S BOX,PROCOL HARUM
1975,10,25,JULIE ANN,KENNY
1975,10,26,FEEL LIKE MAKIN' LOVE,BAD COMPANY
1975,10,27,L-L-LUCY,MUD
1975,10,28,THAT'S THE WAY (I LIKE IT),KC AND THE SUNSHINE BAND
1975,10,29,NAPPY LOVE/WILD THING,GOODIES
1975,10,30,NO WOMAN NO CRY,BOB MARLEY & THE WAILERS
1975,10,31,FOOL,AL MATTHEWS
1975,10,32,JUST A SMILE,PILOT
1975,10,33,FALLIN' IN LOVE,HAMILTON
1975,10,34,INDIAN LOVE CALL,RAY STEVENS
1975,10,35,BLANKET ON THE GROUND,BILLIE JO SPEARS
1975,10,36,I CAN'T GIVE YOU ANYTHING (BUT MY LOVE),THE STYLISTICS
1975,10,37,THE BEST THING THAT EVER HAPPENED TO ME,GLADYS KNIGHT AND THE PIPS
1975,10,38,CHICK-A-BOOM FT THE SOUND OF SHAG,53RD AND 3RD FEATURING THE SOUND OF SHAG
1975,10,39,DO IT ANYWAY YOU WANNA,PEOPLE'S CHOICE
1975,10,40,SINGLE GIRL {1975},SANDY POSEY
1975,10,41,FATTIE BUM BUM,DIVERSIONS
1975,10,42,WHAT A DIFF'RENCE A DAY MAKES,ESTHER PHILLIPS
1975,10,43,ISLAND GIRL,ELTON JOHN
1975,10,44,DON'T PLAY YOUR ROCK AND ROLL TO ME,SMOKIE
1975,10,45,OUT ON THE FLOOR,DOBIE GRAY
1975,10,46,LOOKS, LOOKS
1975,10,47,OUT OF TIME,CHRIS FARLOWE
1975,10,48,YUM YUM (GIMME SOME),THE FATBACK BAND
1975,10,49,RHINESTONE COWBOY,GLEN CAMPBELL
1975,10,50,REACHING FOR THE BEST,EXCITERS
1975,11,1,I ONLY HAVE EYES FOR YOU,ART GARFUNKEL
1975,11,2,SPACE ODDITY {1975},DAVID BOWIE
1975,11,3,THERE GOES MY FIRST LOVE,THE DRI
1975,11,4,FEELINGS,MORRIS ALBERT
1975,11,5,LOVE IS THE DRUG,ROXY MUSIC
1975,11,6,SOS,ABBA
1975,11,7,HOLD ME CLOSE,DAVID ESSEX
1975,11,8,WHAT A DIFF'RENCE A DAY MAKES,ESTHER PHILLIPS
1975,11,9,DON'T PLAY YOUR ROCK AND ROLL TO ME,SMOKIE
1975,11,10,RHINESTONE COWBOY,GLEN CAMPBELL
1975,11,11,SCOTCH ON THE ROCKS,BAND OF THE BLACK WATCH
1975,11,12,IT'S TIME FOR LOVE,THE CHI-LITES
1975,11,13,WHO LOVES YOU,THE FOUR SEASONS
1975,11,14,ISLAND GIRL,ELTON JOHN
1975,11,15,HOLD BACK THE NIGHT,THE TRAMMPS
1975,11,16,L-L-LUCY,MUD
1975,11,17,I AIN'T LYIN',GEORGE MCCRAE
1975,11,18,HIGHFLY,JOHN MILES
1975,11,19,BLUE GUITAR,JUSTIN HAYWARD AND JOHN LODGE
1975,11,20,FUNKY MOPED/MAGIC ROUNDABOUT,JASPER CARROTT
1975,11,21,ROCK ON BROTHER,CHEQUERS
1975,11,22,BIG TEN,JUDGE DREAD
1975,11,23,NEW YORK GROOVE,HELLO
1975,11,24,UNA PALOMA BLANCA,JONATHAN KING
1975,11,25,RIDE A WILD HORSE,DEE CLARK
1975,11,26,D.I.V.O.R.C.E.,BILLY CONNOLLY
1975,11,27,NO WOMAN NO CRY,BOB MARLEY & THE WAILERS
1975,11,28,LOVE HURTS,JIM CAPALDI
1975,11,29,PALOMA BLANCA,GEORGE BAKER SELECTION
1975,11,30,DREAMY LADY,T.REX
1975,11,31,DARLIN',DAVID CASSIDY
1975,11,32,THIS WILL BE,NATALIE COLE
1975,11,33,FATTIE BUM BUM,CARL MALCOLM
1975,11,34,NAPPY LOVE/WILD THING,GOODIES
1975,11,35,REACHING FOR THE BEST,EXCITERS
1975,11,36,ROCKY,AUSTIN ROBERTS
1975,11,37,I'M ON FIRE,5000 VOLTS
1975,11,38,YOU,GEORGE HARRISON
1975,11,39,SUPERSHIP,GEORGE BENSON
1975,11,40,ARE YOU BEING SERVED SIR?,JOHN INMAN
1975,11,41,PAPER DOLL,WINDSOR DAVIES AND DON ESTELLE
1975,11,42,LOOK AT ME (I'M IN LOVE),MOMENTS
1975,11,43,IMAGINE,JOHN LENNON
1975,11,44,CRACKIN' UP,TOMMY HUNT
1975,11,45,RIGHT BACK WHERE WE STARTED FROM,MAXINE NIGHTINGALE
1975,11,46,LETTING GO,PAUL MCCARTNEY AND WINGS
1975,11,47,CHANGE WITH THE TIMES,VAN MCCOY
1975,11,48,SKY HIGH,JIGSAW
1975,11,49,GOOD-BYE-EE,14-18
1975,11,50,LYIN' EYES,EAGLES
1975,12,1,BOHEMIAN RHAPSODY,QUEEN
1975,12,2,YOU SEXY THING,HOT CHOCOLATE
1975,12,3,MONEY HONEY,BAY CITY ROLLERS
1975,12,4,THIS OLD HEART OF MINE,ROD STEWART
1975,12,5,ALL AROUND MY HAT,STEELEYE SPAN
1975,12,6,NA NA IS THE SADDEST WORD,THE STYLISTICS
1975,12,7,D.I.V.O.R.C.E.,BILLY CONNOLLY
1975,12,8,LOVE HURTS,JIM CAPALDI
1975,12,9,THE TRAIL OF THE LONESOME PINE FT CHILL WILLS,LAUREL AND HARDY WITH THE AVALON BOYS FEATURING CHILL WILLS
1975,12,10,IMAGINE,JOHN LENNON
1975,12,11,IN FOR A PENNY,SLADE
1975,12,12,SKY HIGH,JIGSAW
1975,12,13,RIGHT BACK WHERE WE STARTED FROM,MAXINE NIGHTINGALE
1975,12,14,LET'S TWIST AGAIN/THE TWIST,CHUBBY CHECKER
1975,12,15,SHOW ME YOU'RE A WOMAN,MUD
1975,12,16,WHY DID YOU DO IT,STRETCH
1975,12,17,DARLIN',DAVID CASSIDY
1975,12,18,LET'S TWIST AGAIN,JOHN ASHER
1975,12,19,HAPPY TO BE ON AN ISLAND IN THE SUN,DEMIS ROUSSOS
1975,12,20,SPACE ODDITY {1975},DAVID BOWIE
1975,12,21,RHINESTONE COWBOY,GLEN CAMPBELL
1975,12,22,FIRST IMPRESSIONS,THE IMPRESSIONS
1975,12,23,NEW YORK GROOVE,HELLO
1975,12,24,GOLDEN YEARS,DAVID BOWIE
1975,12,25,ROCKY,AUSTIN ROBERTS
1975,12,26,LYIN' EYES,EAGLES
1975,12,27,CAN I TAKE YOU HOME LITTLE GIRL,THE DRI
1975,12,28,FLY ROBIN FLY,SILVER CONVENTION
1975,12,29,LOVE IS THE DRUG,ROXY MUSIC
1975,12,30,LITTLE DARLING,RUBETTES
1975,12,31,PART TIME LOVE,GLADYS KNIGHT AND THE PIPS
1975,12,32,ART FOR ARTS SAKE,10CC
1975,12,33,GREEN GREEN GRASS OF HOME,ELVIS PRESLEY
1975,12,34,BLUE GUITAR,JUSTIN HAYWARD AND JOHN LODGE
1975,12,35,HEAVENLY,SHOWADDYWADDY
1975,12,36,RENTA SANTA,CHRIS HILL
1975,12,37,ALRIGHT BABY,STEVENSON'S ROCKET
1975,12,38,GAMBLIN' BAR ROOM BLUES,SENSATIONAL ALEX HARVEY BAND
1975,12,39,I'M STILL GONNA NEED YOU,THE OSMONDS
1975,12,40,I BELIEVE IN FATHER CHRISTMAS,GREG LAKE
1975,12,41,HOLY ROLLER,NAZARETH
1975,12,42,SUPER LOVE,WIGAN'S OVATION
1975,12,43,WIDE EYED AND LEGLESS,ANDY FAIRWEATHER-LOW
1975,12,44,GLASS OF CHAMPAGNE,SAILOR
1975,12,45,I'M SO CRAZY,KC AND THE SUNSHINE BAND
1975,12,46,(THINK OF ME) WHEREVER YOU ARE,KEN DODD
1975,12,47,CHRISTMAS IN DREADLAND/COME OUTSIDE,JUDGE DREAD
1975,12,48,DO THE BUS STOP,THE FATBACK BAND
1975,12,49,PAPA OOM MOW MOW,GARY GLITTER
1975,12,50,IF I COULD,DAVID ESSEX
1976,1,1,BOHEMIAN RHAPSODY,QUEEN
1976,1,2,I BELIEVE IN FATHER CHRISTMAS,GREG LAKE
1976,1,3,THE TRAIL OF THE LONESOME PINE FT CHILL WILLS,LAUREL AND HARDY WITH THE AVALON BOYS FEATURING CHILL WILLS
1976,1,4,IT'S GONNA BE A COLD COLD CHRISTMAS,DANA
1976,1,5,LET'S TWIST AGAIN/THE TWIST,CHUBBY CHECKER
1976,1,6,HAPPY TO BE ON AN ISLAND IN THE SUN,DEMIS ROUSSOS
1976,1,7,YOU SEXY THING,HOT CHOCOLATE
1976,1,8,NA NA IS THE SADDEST WORD,THE STYLISTICS
1976,1,9,GOLDEN YEARS,DAVID BOWIE
1976,1,10,RENTA SANTA,CHRIS HILL
1976,1,11,SHOW ME YOU'RE A WOMAN,MUD
1976,1,12,CAN I TAKE YOU HOME LITTLE GIRL,THE DRI
1976,1,13,WIDE EYED AND LEGLESS,ANDY FAIRWEATHER-LOW
1976,1,14,CHRISTMAS IN DREADLAND/COME OUTSIDE,JUDGE DREAD
1976,1,15,MONEY HONEY,BAY CITY ROLLERS
1976,1,16,IF I COULD,DAVID ESSEX
1976,1,17,ART FOR ARTS SAKE,10CC
1976,1,18,GLASS OF CHAMPAGNE,SAILOR
1976,1,19,ALL AROUND MY HAT,STEELEYE SPAN
1976,1,20,MAKE A DAFT NOISE FOR CHRISTMAS,GOODIES
1976,1,21,(THINK OF ME) WHEREVER YOU ARE,KEN DODD
1976,1,22,IN DULCI JUBILO/ON HORSEBACK,MIKE OLDFIELD
1976,1,23,ITCHYCOO PARK {1975},THE SMALL FACES
1976,1,24,THIS OLD HEART OF MINE,ROD STEWART
1976,1,25,IN FOR A PENNY,SLADE
1976,1,26,DO THE BUS STOP,THE FATBACK BAND
1976,1,27,FIRST IMPRESSIONS,THE IMPRESSIONS
1976,1,28,IMAGINE,JOHN LENNON
1976,1,29,MAMMA MIA,ABBA
1976,1,30,KING OF THE COPS,BILLY HOWARD
1976,1,31,SKY HIGH,JIGSAW
1976,1,32,GREEN GREEN GRASS OF HOME,ELVIS PRESLEY
1976,1,33,LOVE HURTS,JIM CAPALDI
1976,1,34,LET'S WOMBLE TO THE PARTY TONIGHT,WOMBLES
1976,1,35,GET IT TOGETHER,CRISPY AND COMPANY
1976,1,36,I BELIEVE I'M GONNA LOVE YOU,FRANK SINATRA
1976,1,37,SANTA CLAUS IS COMIN' TO TOWN,THE CARPENTERS
1976,1,38,WHY DID YOU DO IT,STRETCH
1976,1,39,D.I.V.O.R.C.E.,BILLY CONNOLLY
1976,1,40,BOTH ENDS BURNING,ROXY MUSIC
1976,1,41,WHITE CHRISTMAS,FREDDIE STARR
1976,1,42,FLY ROBIN FLY,SILVER CONVENTION
1976,1,43,LET THE MUSIC PLAY,BARRY WHITE
1976,1,44,GAMBLIN' BAR ROOM BLUES,SENSATIONAL ALEX HARVEY BAND
1976,1,45,ALRIGHT BABY,STEVENSON'S ROCKET
1976,1,46,MIDNIGHT RIDER,PAUL DAVIDSON
1976,1,47,MILKY WAY,SHEER ELEGANCE
1976,1,48,DANCE OF THE CUCKOOS,BAND OF THE BLACK WATCH
1976,1,49,THE OLD RUGGED CROSS,ETHNA CAMPBELL
1976,1,50,DREAMS OF YOU,RALPH McTELL
1976,2,1,MAMMA MIA,ABBA
1976,2,2,FOREVER AND EVER,SLIK
1976,2,3,LOVE MACHINE,THE MIRACLES
1976,2,4,LOVE TO LOVE YOU BABY,DONNA SUMMER
1976,2,5,WE DO LT,R AND J STONE
1976,2,6,BOHEMIAN RHAPSODY,QUEEN
1976,2,7,GLASS OF CHAMPAGNE,SAILOR
1976,2,8,DECEMBER '63,THE FOUR SEASONS
1976,2,9,KING OF THE COPS,BILLY HOWARD
1976,2,10,IN DULCI JUBILO/ON HORSEBACK,MIKE OLDFIELD
1976,2,11,EVIL WOMAN,ELECTRIC LIGHT ORCHESTRA
1976,2,12,MIDNIGHT RIDER,PAUL DAVIDSON
1976,2,13,NO REGRETS,WALKER BROTHERS
1976,2,14,ITCHYCOO PARK {1975},THE SMALL FACES
1976,2,15,MOONLIGHT SERENADE/LITTLE BROWN JUG/IN THE MOOD,GLENN MILLER
1976,2,16,LET THE MUSIC PLAY,BARRY WHITE
1976,2,17,ANSWER ME,BARBARA DICKSON
1976,2,18,WALK AWAY FROM LOVE,DAVID RUFFIN
1976,2,19,MILKY WAY,SHEER ELEGANCE
1976,2,20,LOW RIDER,WAR
1976,2,21,RODRIGO'S GUITAR CONCERTO DE ARANJUEZ,MANUEL AND THE MUSIC OF THE MOUNTAINS
1976,2,22,SUNSHINE DAY,OSIBISA
1976,2,23,BABY FACE,WING AND A PRAYER FIFE AND DRUM CORPS
1976,2,24,WIDE EYED AND LEGLESS,ANDY FAIRWEATHER-LOW
1976,2,25,DEEP PURPLE,DONNY & MARIE OSMOND
1976,2,26,SQUEEZE BOX,THE WHO
1976,2,27,50 WAYS TO LEAVE YOUR LOVER,PAUL SIMON
1976,2,28,THE WAY I WANT TO TOUCH YOU,THE CAPTAIN AND TENNILLE
1976,2,29,IT SHOULD HAVE BEEN ME,YVONNE FAIR
1976,2,30,SOMETHING'S BEEN MAKING ME BLUE,SMOKIE
1976,2,31,I LOVE MUSIC,THE O'JAYS
1976,2,32,WEAK SPOT,EVELYN THOMAS
1976,2,33,HONEY I,GEORGE MCCRAE
1976,2,34,DO THE BUS STOP,THE FATBACK BAND
1976,2,35,LIES IN YOUR EYES,THE SWEET
1976,2,36,BOTH ENDS BURNING,ROXY MUSIC
1976,2,37,YOUR MAGIC PUT A SPELL ON ME,L.J. JOHNSON
1976,2,38,JUST ONE LOOK,FAITH
1976,2,39,TUXEDO JUNCTION,THE MANHATTAN TRANSFER
1976,2,40,THE OLD RUGGED CROSS,ETHNA CAMPBELL
1976,2,41,DRIVE SAFELY DARLIN',TONY CHRISTIE
1976,2,42,HOW HIGH THE MOON,GLORIA GAYNOR
1976,2,43,HURRICANE,BOB DYLAN
1976,2,44,LET ME BE THE NUMBER 1 (LOVE OF YOUR LIFE),DOOLEY SILVERSPOON
1976,2,45,LET'S CALL IT QUITS,SLADE
1976,2,46,DAT,PLUTO SHERVINGTON
1976,2,47,INSIDE AMERICA,JUGGY JONES
1976,2,48,I LOVE TO LOVE,TINA CHARLES
1976,2,49,MISS YOU NIGHTS,CLIFF RICHARD
1976,2,50,IN THE MOOD,SOUND 9418
1976,3,1,I LOVE TO LOVE,TINA CHARLES
1976,3,2,DECEMBER '63,THE FOUR SEASONS
1976,3,3,CONVOY,C. W. MCCALL
1976,3,4,RODRIGO'S GUITAR CONCERTO DE ARANJUEZ,MANUEL AND THE MUSIC OF THE MOUNTAINS
1976,3,5,IT SHOULD HAVE BEEN ME,YVONNE FAIR
1976,3,6,DAT,PLUTO SHERVINGTON
1976,3,7,RAIN,STATUS QUO
1976,3,8,LOVE REALLY HURTS WITHOUT YOU,BILLY OCEAN
1976,3,9,FOREVER AND EVER,SLIK
1976,3,10,FUNKY WEEKEND,THE STYLISTICS
1976,3,11,SQUEEZE BOX,THE WHO
1976,3,12,YOU DON'T HAVE TO SAY YOU LOVE ME,GUYS AND DOLLS
1976,3,13,I LOVE MUSIC,THE O'JAYS
1976,3,14,LET'S CALL IT QUITS,SLADE
1976,3,15,(DO THE) SPANISH HUSTLE,THE FATBACK BAND
1976,3,16,PEOPLE LIKE YOU PEOPLE LIKE ME,GLITTER BAND
1976,3,17,SOMETHING'S BEEN MAKING ME BLUE,SMOKIE
1976,3,18,MOONLIGHT SERENADE/LITTLE BROWN JUG/IN THE MOOD,GLENN MILLER
1976,3,19,MISS YOU NIGHTS,CLIFF RICHARD
1976,3,20,LOW RIDER,WAR
1976,3,21,LOVE TO LOVE YOU BABY,DONNA SUMMER
1976,3,22,I WANNA STAY WITH YOU,GALLAGHER AND LYLE
1976,3,23,NO REGRETS,WALKER BROTHERS
1976,3,24,MAMMA MIA,ABBA
1976,3,25,LET'S DO THE LATIN HUSTLE,EDDIE DRENNON AND B.B.S. UNLIMITED
1976,3,26,LET'S DO THE LATIN HUSTLE,M AND O BAND
1976,3,27,FALLING APART AT THE SEAMS,MARMALADE
1976,3,28,TUXEDO JUNCTION,THE MANHATTAN TRANSFER
1976,3,29,YOUR MAGIC PUT A SPELL ON ME,L.J. JOHNSON
1976,3,30,WAKE UP EVERYBODY,HAROLD MELVIN AND THE BLUENOTES
1976,3,31,WE DO LT,R AND J STONE
1976,3,32,LOVE MACHINE,THE MIRACLES
1976,3,33,WEAK SPOT,EVELYN THOMAS
1976,3,34,CLOUD 99,ST ANDREWS CHORALE
1976,3,35,WALK AWAY FROM LOVE,DAVID RUFFIN
1976,3,36,SHIPS IN THE NIGHT,BE BOP DELUXE
1976,3,37,(IF PARADISE IS) HALF AS NICE {1976},AMEN CORNER
1976,3,38,HEY MISS PAYNE,CHEQUERS
1976,3,39,BABY FACE,WING AND A PRAYER FIFE AND DRUM CORPS
1976,3,40,CONCRETE AND CLAY,RANDY EDELMAN
1976,3,41,CAN'T SAY HOW MUCH I LOVE YOU,DEMIS ROUSSOS
1976,3,42,NEVER GONNA FALL IN LOVE AGAIN,DANA
1976,3,43,YOU SEE THE TROUBLE WITH ME,BARRY WHITE
1976,3,44,TAKE IT TO THE LIMIT,EAGLES
1976,3,45,HEY MR. MUSIC MAN,PETERS AND LEE
1976,3,46,THE OLD RUGGED CROSS,ETHNA CAMPBELL
1976,3,47,SEAGULL,RAINBOW COTTAGE
1976,3,48,OTHER SIDE OF ME,ANDY WILLIAMS
1976,3,49,LONDON BOYS,T.REX
1976,3,50,HERE THERE AND EVERYWHERE,EMMYLOU HARRIS
1976,4,1,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN
1976,4,2,YOU SEE THE TROUBLE WITH ME,BARRY WHITE
1976,4,3,LOVE REALLY HURTS WITHOUT YOU,BILLY OCEAN
1976,4,4,MUSIC,JOHN MILES
1976,4,5,I LOVE TO LOVE,TINA CHARLES
1976,4,6,I WANNA STAY WITH YOU,GALLAGHER AND LYLE
1976,4,7,PINBALL WIZARD,ELTON JOHN
1976,4,8,YESTERDAY,THE BEATLES
1976,4,9,FALLING APART AT THE SEAMS,MARMALADE
1976,4,10,PEOPLE LIKE YOU PEOPLE LIKE ME,GLITTER BAND
1976,4,11,I'M MANDY FLY ME,10CC
1976,4,12,HELLO HAPPINESS,THE DRI
1976,4,13,TAKE IT TO THE LIMIT,EAGLES
1976,4,14,FERNANDO,ABBA
1976,4,15,YOU DON'T HAVE TO SAY YOU LOVE ME,GUYS AND DOLLS
1976,4,16,HEY MR. MUSIC MAN,PETERS AND LEE
1976,4,17,CONCRETE AND CLAY,RANDY EDELMAN
1976,4,18,JUNGLE ROCK,HANK MIZELL
1976,4,19,CONVOY,C. W. MCCALL
1976,4,20,DON'T STOP IT NOW,HOT CHOCOLATE
1976,4,21,GIRLS GIRLS GIRLS,SAILOR
1976,4,22,HEY JUDE {1976},THE BEATLES
1976,4,23,WAKE UP EVERYBODY,HAROLD MELVIN AND THE BLUENOTES
1976,4,24,MISS YOU NIGHTS,CLIFF RICHARD
1976,4,25,THEME FROM MAHOGANY (DO YOU KNOW WHERE YOU'RE GOING TO),DIANA ROSS
1976,4,26,SHIPS IN THE NIGHT,BE BOP DELUXE
1976,4,27,PAPERBACK WRITER {1976},THE BEATLES
1976,4,28,THERE'S A KIND OF HUSH,THE CARPENTERS
1976,4,29,DECEMBER '63,THE FOUR SEASONS
1976,4,30,CITY LIGHTS,DAVID ESSEX
1976,4,31,RODRIGO'S GUITAR CONCERTO DE ARANJUEZ,MANUEL AND THE MUSIC OF THE MOUNTAINS
1976,4,32,IF YOU LOVE ME,MARY HOPKIN
1976,4,33,DISCO CONNECTION,ISAAC HAYES
1976,4,34,RIDERS ON THE STORM {1976},THE DOORS
1976,4,35,(DO THE) SPANISH HUSTLE,THE FATBACK BAND
1976,4,36,IT SHOULD HAVE BEEN ME,YVONNE FAIR
1976,4,37,SPANISH WINE,CHRIS WHITE
1976,4,38,MOVIN',BRASS CONSTRUCTION
1976,4,39,LAZY SUNDAY {1976},THE SMALL FACES
1976,4,40,YOU BELONG TO ME,GARY GLITTER
1976,4,41,LET'S DO THE LATIN HUSTLE,M AND O BAND
1976,4,42,LIFE IS TOO SHORT GIRL,SHEER ELEGANCE
1976,4,43,THAT'S WHERE THE HAPPY PEOPLE GO,THE TRAMMPS
1976,4,44,LET'S DO THE LATIN HUSTLE,EDDIE DRENNON AND B.B.S. UNLIMITED
1976,4,45,GET UP AND BOOGIE,SILVER CONVENTION
1976,4,46,STRAWBERRY FIELDS FOREVER,THE BEATLES
1976,4,47,YOU SEXY SUGAR PLUM (BUT I LIKE IT),RODGER COLLINS
1976,4,48,HERE THERE AND EVERYWHERE,EMMYLOU HARRIS
1976,4,49,GET BACK {1976},BEATLES WITH BILLY PRESTON
1976,4,50,ARMS OF MARY,SUTHERLAND BROTHERS AND QUIVER
1976,5,1,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN
1976,5,2,FERNANDO,ABBA
1976,5,3,JUNGLE ROCK,HANK MIZELL
1976,5,4,LOVE ME LIKE I LOVE YOU,BAY CITY ROLLERS
1976,5,5,S-S-S-SINGLE BED,FOX
1976,5,6,THEME FROM MAHOGANY (DO YOU KNOW WHERE YOU'RE GOING TO),DIANA ROSS
1976,5,7,GIRLS GIRLS GIRLS,SAILOR
1976,5,8,I'M MANDY FLY ME,10CC
1976,5,9,GET UP AND BOOGIE,SILVER CONVENTION
1976,5,10,DISCO CONNECTION,ISAAC HAYES
1976,5,11,MUSIC,JOHN MILES
1976,5,12,LIFE IS TOO SHORT GIRL,SHEER ELEGANCE
1976,5,13,ALL BY MYSELF,ERIC CARMEN
1976,5,14,CONVOY G.B.,LAURIE LINGO AND THE DIPSTICKS
1976,5,15,DON'T STOP IT NOW,HOT CHOCOLATE
1976,5,16,SILVER STAR,THE FOUR SEASONS
1976,5,17,MORE, MORE
1976,5,18,HEY JUDE {1976},THE BEATLES
1976,5,19,ARMS OF MARY,SUTHERLAND BROTHERS AND QUIVER
1976,5,20,CAN'T HELP FALLING IN LOVE,THE STYLISTICS
1976,5,21,HONKY TONK TRAIN BLUES,KEITH EMERSON
1976,5,22,FALLEN ANGEL,FRANKIE VALLI
1976,5,23,YOU SEE THE TROUBLE WITH ME,BARRY WHITE
1976,5,24,LOVE HANGOVER,DIANA ROSS
1976,5,25,I'LL GO WHERE YOUR MUSIC TAKES ME,JIMMY JAMES AND THE VAGABONDS
1976,5,26,YOU SEXY SUGAR PLUM (BUT I LIKE IT),RODGER COLLINS
1976,5,27,MOVIE STAR,HARPO
1976,5,28,LET YOUR LOVE FLOW,BELLAMY BROTHERS
1976,5,29,REGGAE LIKE IT USED TO BE,PAUL NICHOLAS
1976,5,30,DISCO LADY,JOHNNY TAYLOR
1976,5,31,PINBALL WIZARD,ELTON JOHN
1976,5,32,I'M YOUR PUPPET,JAMES AND BOBBY PURIFY
1976,5,33,BABY I'M YOURS,LINDA LEWIS
1976,5,34,MOVIN',BRASS CONSTRUCTION
1976,5,35,NO CHARGE,J.J. BARRIE
1976,5,36,YOU'RE THE REASON WHY,RUBETTES
1976,5,37,THERE'S A KIND OF HUSH,THE CARPENTERS
1976,5,38,GET BACK {1976},BEATLES WITH BILLY PRESTON
1976,5,39,RAIN FOREST,BIDDU ORCHESTRA
1976,5,40,FALLING APART AT THE SEAMS,MARMALADE
1976,5,41,BLUEBERRY HILL {1976},FATS DOMINO
1976,5,42,HELLO HAPPINESS,THE DRI
1976,5,43,FOOL TO CRY,THE ROLLING STONES
1976,5,44,THAT'S WHERE THE HAPPY PEOPLE GO,THE TRAMMPS
1976,5,45,DOOMSDAY,EVELYN THOMAS
1976,5,46,TOAST OF LOVE,THE THREE DEGREES
1976,5,47,RAM GOAT LIVER,PLUTO
1976,5,48,LOVE ME LIKE A LOVER,TINA CHARLES
1976,5,49,SHOW ME THE WAY,PETER FRAMPTON
1976,5,50,HURT,ELVIS PRESLEY
1976,6,1,NO CHARGE,J.J. BARRIE
1976,6,2,COMBINE HARVESTER,THE WURZELS
1976,6,3,MY RESISTANCE IS LOW,ROBIN SARSTEDT
1976,6,4,FERNANDO,ABBA
1976,6,5,SILLY LOVE SONGS,WINGS
1976,6,6,FOOL TO CRY,THE ROLLING STONES
1976,6,7,LET YOUR LOVE FLOW,BELLAMY BROTHERS
1976,6,8,ARMS OF MARY,SUTHERLAND BROTHERS AND QUIVER
1976,6,9,DEVIL WOMAN,CLIFF RICHARD
1976,6,10,MIDNIGHT TRAIN TO GEORGIA,GLADYS KNIGHT AND THE PIPS
1976,6,11,LOVE HANGOVER,DIANA ROSS
1976,6,12,SHAKE IT DOWN,MUD
1976,6,13,I'M YOUR PUPPET,JAMES AND BOBBY PURIFY
1976,6,14,MORE, MORE
1976,6,15,SHOW ME THE WAY,PETER FRAMPTON
1976,6,16,SILVER STAR,THE FOUR SEASONS
1976,6,17,CAN'T HELP FALLING IN LOVE,THE STYLISTICS
1976,6,18,JOLENE,DOLLY PARTON
1976,6,19,HEART ON MY SLEEVE,GALLAGHER AND LYLE
1976,6,20,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN
1976,6,21,THIS IS IT,MELBA MOORE
1976,6,22,YOU TO ME ARE EVERYTHING,REAL THING
1976,6,23,JUNGLE ROCK,HANK MIZELL
1976,6,24,SOUL CITY WALK,ARCHIE BELL AND THE DRELLS
1976,6,25,GET UP AND BOOGIE,SILVER CONVENTION
1976,6,26,THE FLASHER FT LLOYD MICHELS,MISTURA FEATURING LLOYD MICHAELS
1976,6,27,S-S-S-SINGLE BED,FOX
1976,6,28,LOVE ME LIKE I LOVE YOU,BAY CITY ROLLERS
1976,6,29,YOU JUST MIGHT SEE ME CRY,OUR KID
1976,6,30,LET'S MAKE A BABY,BILLY PAUL
1976,6,31,THE WANDERER {1976},DION
1976,6,32,TROCADERO,SHOWADDYWADDY
1976,6,33,TVC 15,DAVID BOWIE
1976,6,34,YOUNG HEARTS RUN FREE,CANDI STATON
1976,6,35,REQUIEM,SLIK
1976,6,36,I'LL GO WHERE YOUR MUSIC TAKES ME,JIMMY JAMES AND THE VAGABONDS
1976,6,37,THE BOYS ARE BACK IN TOWN,THIN LIZZY
1976,6,38,YOU'RE MY EVERYTHING,LEE GARRETT
1976,6,39,REGGAE LIKE IT USED TO BE,PAUL NICHOLAS
1976,6,40,DISCO LADY,JOHNNY TAYLOR
1976,6,41,FOOLED AROUND AND FELL IN LOVE,ELVIN BISHOP
1976,6,42,TONIGHT'S THE NIGHT,ROD STEWART
1976,6,43,DAWN,FLINTLOCK
1976,6,44,COULD IT BE MAGIC,DONNA SUMMER
1976,6,45,THE CONTINENTAL,MAUREEN MCGOVERN
1976,6,46,PARTY TIME,THE FATBACK BAND
1976,6,47,THE TWO OF US,MAC AND KATIE KISSOON
1976,6,48,LEADER OF THE PACK {1976},SHANGRI-LAS
1976,6,49,DANCE THE BODY MUSIC,OSIBISA
1976,6,50,SOLD MY ROCK N' ROLL (GAVE IT FOR FUNKY SOUL),LINDA AND THE FUNKY BOYS
1976,7,1,YOU TO ME ARE EVERYTHING,REAL THING
1976,7,2,YOU JUST MIGHT SEE ME CRY,OUR KID
1976,7,3,YOUNG HEARTS RUN FREE,CANDI STATON
1976,7,4,LET'S STICK TOGETHER,BRYAN FERRY
1976,7,5,TONIGHT'S THE NIGHT,ROD STEWART
1976,7,6,HEART ON MY SLEEVE,GALLAGHER AND LYLE
1976,7,7,LEADER OF THE PACK {1976},SHANGRI-LAS
