song_title,artist_name
THIS IS A REBEL SONG,SINEAD O'CONNOR
BIZZI'S PARTY,BIZZI
THE MEMORY REMAINS,METALLICA
THE BRIGHT LIGHT,TANYA DONELLY
ANOTHER DAY,BUCKSHOT LEFONQUE
GUNMAN,187 LOCKDOWN
SHOW ME HEAVEN,CHIMIRA
LONELY,PETER ANDRE
TAKE MY SCARS,MACHINE HEAD
I SURRENDER,ROSIE GAINES
FUNK MUSIC,DAVE ANGEL
LOVE, PEACE AND GREASE
APPLE TREE,ERYKAH BADU
THE CHANT (WE R)/R.I.P. PRODUCTIONS,R.I.P. PRODUCTIONS
START AGAIN,TEENAGE FANCLUB
JUNGLE BROTHER,JUNGLE BROTHERS
GRADUATE,THIRD EYE BLIND
NO DOUBT,702
20 HZ [NEW FREQUENCIES],CAPRICORN
WRONG NUMBER,CURE
SHE'S LOOKING FOR ME (LIMITED EDITION),MONTROSE AVENUE
SOMETIME LATER,ALPHA
CALL ON ME,JOHNNY X
INVISIBLE MAN,98 DEGREES
TOO MUCH,SPICE GIRLS
TELETUBBIES SAY EH-OH!,TELETUBBIES
TOGETHER AGAIN,JANET JACKSON
ANGELS,ROBBIE WILLIAMS
THE REASON,CELINE DION
SLAM DUNK (DA FUNK),FIVE
I AM IN LOVE WITH THE WORLD,CHICKEN SHED
FEEL SO GOOD,MASE
NO WAY NO WAY,VANILLA
TOMORROW NEVER DIES,SHERYL CROW
YOU CAN TALK TO ME,SEAHORSES
HISTORY REPEATING,PROPELLERHEADS
BACK TO YOU,BRYAN ADAMS
JUST CRUISIN',WILL SMITH
DOG TRAIN,LEVELLERS
BUTTERFLY,MARIAH CAREY
ROXANNE '97,STING & THE POLICE
BEAUTIFUL NIGHT,PAUL MCCARTNEY
(MONEY CAN'T) BUY ME LOVE,BLACKSTREET
IF GOD WILL SEND HIS ANGELS,U2
I WANT AN ALIEN FOR CHRISTMAS,FOUNTAINS OF WAYNE
HIGH TIMES,JAMIROQUAI
GUESS WHO'S BACK,RAKIM
RHYTHM OF THE NIGHT,POWERHOUSE
LIFT ME UP,RED 5
BACHELORETTE,BJORK
DRIVING IN MY CAR,MAUREEN REES
DANGEROUS,BUSTA RHYMES
PINK,AEROSMITH
FORGIVEN (I FEEL YOUR LOVE),SPACE BROTHERS
LOST YOU SOMEWHERE,CHICANE
WHAT YOU SAY,LIGHTNING SEEDS
SUNDAY MORNING,NO DOUBT
DEEPER,SERIOUS DANGER
THE THEME,DREEM TEEM
CAMEL BOBSLED RACE,DJ SHADOW
YOU MAKE ME WANNA,USHER
ALL MY TIME,PAID & LIVE 
ALL YOU GOOD GOOD PEOPLE EP,EMBRACE
SOUND BWOY BURIAL/ALL NIGHT LONG,GANT
DOCTOR JONES,AQUA
YOU MAKE ME WANNA...,USHER
GETTIN' JIGGY WIT IT,WILL SMITH
HIGH,LIGHTHOUSE FAMILY
CRAZY LITTLE PARTY GIRL,AARON CARTER
MULDER AND SCULLY,CATATONIA
BAMBOOGIE,BAMBOO
RENEGADE MASTER 98,WILDCHILD
SYLVIE,SAINT ETIENNE
SOMEBODY ELSE'S GUY,CE CE PENISTON
ALL AROUND THE WORLD,OASIS
AMNESIA,CHUMBAWAMBA
IT'S ALL ABOUT THE BENJAMINS,PUFF DADDY & THE FAMILY
THE STORY OF LOVE,OTT
TIME OF YOUR LIFE (GOOD RIDDANCE),GREEN DAY
B-BOY STANCE,FREESTYLERS 
MAYBE I'M AMAZED,CARLEEN ANDERSON
YOU MAKE ME FEEL (MIGHTY REAL),BYRON STINGILY
SAINT OF ME,ROLLING STONES
MY STAR,IAN BROWN
I WILL BE YOUR GIRLFRIEND,DUBSTAR
DON'T STOP,RUFF DRIVERZ
THE ONLY ONE,THUNDER
SO GOOD/FREE LOVE 98,JULIET ROBERTS
AVENGING ANGELS,SPACE
GIVEN TO FLY,PEARL JAM
ALL NIGHT ALL RIGHT,PETER ANDRE 
I'LL BE THERE FOR YOU,SOLID HARMONIE
NO SURPRISES,RADIOHEAD
PRINCE IGOR,WARREN G FEAT SISSEL
BUTTERFLY,TILT FEAT ZEE
CARRY ON,SPACEHOG
ONE STEP,KILLAH PRIEST
SPIN SPIN SUGAR,SNEAKER PIMPS
CHILDREN OF THE NIGHT,NAKATOMI
THAT'S THE WAY (I LIKE IT),CLOCK
TEMPERTEMPER,GOLDIE
CANDLEFIRE,DAWN OF THE REPLICANTS
ALL CRIED OUT,ALLURE
THE TWISTER,VIPER
MY HERO,FOO FIGHTERS
SANDS OF TIME,KALEEF
HOW MUCH I FEEL,ALIBI
THE VAMP (REVAMPED),OUTLANDER
FOGHORN,A
MY LOVE IS THE SHHH!,SOMETHIN' FOR THE PEOPLE
EVERY DAY I FALL APART,SUPERSTAR
NO-ONE BUT YOU/TIE YOUR MOTHER DOWN,QUEEN
IN LOVE WITH THE FAMILIAR,WIRELESS
STAY,BERNARD BUTLER
RIDE ON THE RHYTHM,LITTLE LOUIE & MARC ANTHONY
SO HOT,J.C.
BELO HORIZONTI,HEARTISTS
COME TASTE MY MIND,EARL BRUTUS
COCKROACH/YETI,UNION JACK
WE ARE E-MALE,E-MALE
FLY,SUGAR RAY
OVERTHROWN,LIBIDO
PLASTIC DREAMS (REVISITED),JAYDEE
FROZEN,MADONNA
MY HEART WILL GO ON,CELINE DION
THE BALLAD OF TOM JONES,SPACE FEATURING CERYS
TRULY MADLY DEEPLY,SAVAGE GARDEN
HOW DO I LIVE,LEANN RIMES
SHOW ME LOVE,ROBYN
BE ALONE NO MORE,ANOTHER LEVEL
WHO AM I,BEENIE MAN
YOU'RE STILL THE ONE,SHANIA TWAIN
THE UNFORGIVEN II,METALLICA
YOUR LOVE GETS SWEETER,FINLEY QUAYE
LET ME SHOW YOU,CAMISRA
WHEN I NEED YOU,WILL MELLOR
CLEOPATRA'S THEME,CLEOPATRA
TREAT INFAMY,REST ASSURED
THE PASSENGER,IGGY POP
TRULY,STEVEN HOUGHTON
IF YOU WANT ME,HINDA HICKS
TELEFUNKIN',N-TYCE
MUSIC IN MY MIND,ADAM F
ALL I HAVE TO GIVE,BACKSTREET BOYS
IT'S A BEAUTIFUL THING,OCEAN COLOUR SCENE
NAKED AND SACRED,MARIA NAYLER
ALANE,WES
IT'S RAINING MEN...THE SEQUEL,MARTHA WASH 
MAKE THE WORLD GO ROUND,SANDY B
HARD TIMES COME EASY,RICHIE SAMBORA
MAN BEHIND THE MUSIC,QUEEN PEN
PLANET LOVE,DJ QUICKSILVER
GOOD ENOUGH (LA VACHE),MILK INCORPORATED
SEXY BOY,AIR
MIYAKO HIDEAWAY,MARION
MARBLES,BLACK GRAPE
LEGEND OF A COWGIRL,IMANI COPPOLA
IF YOU CAN'T DO IT WHEN YOU'RE YOUNG...,AUDIENCE
WHAT WOULD HAPPEN,MEREDITH BROOKS
A NANNY IN MANHATTAN,LILYS
WISHING ON A STAR,JAY-Z FEAT GWEN DICKEY
SOLOMON BITES THE WORM,BLUETONES
PETAL,WUBBLE-U
EVERY DAY SHOULD BE A HOLIDAY,DANDY WARHOLS
MUCH LOVE,SHOLA AMA
THAT'S WHY WE LOSE CONTROL,YOUNG OFFENDERS
IT'S LIKE THAT,RUN-D.M.C. VS JASON NEVINS
HAND IN YOUR HEAD,MONEY MARK
THE MAGNIFICENT,AGENT 00
NOT ABOUT US,GENESIS
ONLY THE STRONGEST WILL SURVIVE,HURRICANE 1
BEST WISHES,ULTRASOUND
MEET HER AT THE LOVE PARADE,DA HOOL
WHAT TIME IS IT?,DUST JUNKYS
KEEP HOPE ALIVE,CRYSTAL METHOD
LE DISC JOCKEY,ENCORE
TWISTED,TWISTED 
RELEASE YOURSELF,PAGANINI TRAXX
BE STRONG NOW,JAMES IHA
SUFFOCATE,FEEDER
REVOLUTION 909,DA
THE WEEKEND,DAVE HOLLISTER
BITTER SWEET SYMPHONY,DEVORAH
WANT LOVE - THE REMIXES,HYSTERIC EGO
DELICIOUS,DENI HINES FEATURING DON-E
ANGELS LANDING,SALT TANK
THE REAL BASS,BROOKLYN BOUNCE
MA SOLITUDA,CATHERINE WHEEL
GIRL TALK,COSA NOSTRA
MODUS OPERANDI,PHOTEK
LA PRIMAVERA,SASH!
ALL I WANT IS YOU,911
I GET LONELY,JANET JACKSON
LET ME ENTERTAIN YOU,ROBBIE WILLIAMS
STOP,SPICE GIRLS
NO NO NO,DESTINY'S CHILD
HERE'S WHERE THE STORY ENDS,TIN TIN OUT 
ALL THAT MATTERS,LOUISE
CORPSES,IAN BROWN
ANGEL ST,M PEOPLE
BEAT GOES ON,ALL SEEING I
UH LA LA LA,ALEXIA
MOVE ON UP,TRICKSTER
WHEN THE LIGHTS GO OUT,FIVE
WHINE AND GRINE,PRINCE BUSTER
FATHER,LL COOL J
SAY WHAT YOU WANT/INSANE,TEXAS 
BIG MISTAKE,NATALIE IMBRUGLIA
NO SWEAT '98,NORTH AND SOUTH
I'M GONNA MISS YOU FOREVER,AARON CARTER
THIS IS HARDCORE,PULP
MY FATHER'S EYES,ERIC CLAPTON
TIME AFTER TIME,CHANGING FACES
WEIRD,HANSON
MY MATE PAUL,DAVID HOLMES
DISREMEMBRANCE,DANNII
BREATHE,KYLIE MINOGUE
DESTINY CALLING,JAMES
SANTA MARIA,DJ MILANO 
I'M READY,BRYAN ADAMS
HERE WE GO/TRIPPY,ARAB STRAP
NOT ALONE,BERNARD BUTLER
EVERLASTING LOVE,CAST FROM CASUALTY
FADED,BEN HARPER
SEASON NO.5,BEDLAM AGO GO
SWEET LEAF/BLACK SABBATH,MOGWAI
THE ANGEL AND THE GAMBLER,IRON MAIDEN
FURIOUS ANGELS,ROB DOUGAN
SHE LEFT ME ON FRIDAY,SHED SEVEN
HOGWASH FARM (THE DIESEL HANDS EP),DAWN OF THE REPLICANTS
WHERE DO I STAND?,MONTROSE AVENUE
HOLLER,GINUWINE
DREAM ANOTHER DREAM,RIALTO
BREED,SENSER
WHAT CAN I DO,CORRS
DON'T LEAVE ME HANGIN',CAMILLE DOUGLAS
TROUBLED GIRL,KAREN RAMIREZ
THE SLEEPER,QUIETMAN
GIVE,COLD
PLANET VIOLET,NALIN I.N.C.
WHERE ARE YOU,IMAANI
VALLEY OF THE SHADOWS,ORIGIN UNKNOWN
LOOK AT YOU EP,BACKYARD BABIES
THE PLAN,SOFA SURFERS
LOOK WHO'S PERFECT NOW,TRANSISTER
IT STARTED WITH A KISS,HOT CHOCOLATE 
IT'S TRICKY,RUN-D.M.C. VS JASON NEVINS
PRIX CHOC,ETIENNE DE CRECY
MY HEART WILL GO ON,CLUELESS
GLAM RAID,SPACE RAIDERS
ALL THAT I NEED,BOYZONE
SOUND OF DRUMS,KULA SHAKER
FEEL IT,TAMPERER FEAT MAYA
ROAD RAGE,CATATONIA
LAST THING ON MY MIND,STEPS
TURN IT UP/FIRE IT UP,BUSTA RHYMES
DANCE THE NIGHT AWAY,MAVERICKS
KEEP ON DANCIN' (LET'S GO),PERPETUAL MOTION
NOT IF YOU WERE THE LAST JUNKIE ON EARTH,DANDY WARHOLS
KISS THE RAIN,BILLIE MYERS
ALL MY LIFE,K-CI & JOJO
SPARK,TORI AMOS
FOUND A CURE,ULTRA NATE
SOUNDS OF WICKEDNESS,TZANT FEAT THE ORIGINAL ODC MC
EL PRESIDENT,DRUGSTORE
DEJA VU (UPTOWN BABY),LORD TARIQ & PETER GUNZ
KUNG-FU,187 LOCKDOWN
THE IMPRESSION THAT I GET,MIGHTY MIGHTY BOSSTONES
NICE & SLOW,USHER
SAY YOU DO,ULTRA
THE BAD PHOTOGRAPHER,SAINT ETIENNE
VISION INCISION,LO FIDELITY ALLSTARS
BUZZIN',ASIAN DUB FOUNDATION
SUPERSTAR,NOVY VS ENIAC
FUN,DA MOB 
BEEP ME 911,MISSY MISDEMEANOR ELLIOTT
WHAT YOU WANT,MASE FEATURING TOTAL
I'M LEAVING,LODGER
VAVOOM!,MAN WITH NO NAME
NOBODY BETTER,TINA MOORE
GIVE A LITTLE LOVE,DANIEL O'DONNELL
BROKEN NOSE,CATHERINE WHEEL
BRICK,BEN FOLDS FIVE
LONG AS I CAN SEE THE LIGHT,MONKEY MAFIA
HIGH NOON,SERIOUS DANGER
JOURNEY TO THE PAST,AALIYAH
POLICEMAN SKANK...(THE STORY OF MY LIFE),AUDIOWEB
BE MINE,CHARLOTTE
LIFE IN MONO,MONO
I WANT YOU TO WANT ME,SOLID HARMONIE
READ MY MIND,CONNER REEVES
LETS GET DOWN,JT PLAYAZ
LAST NIGHT A DJ SAVED MY LIFE,SYLK 130
SEX AND CANDY,MARCY PLAYGROUND
R U SLEEPING,INDO
HURRICANE,WARM JETS
DO WHAT YOU DO,TONY DE VIT 
MUNGO CITY,SPACEHOG
BAD BOY,WILDCHILD 
TOUGH AT THE TOP,E-Z ROLLERS
THE FONZ,SMASH MOUTH
NOBODY'S BUSINESS,PEACE BY PIECE
A TRIP INTO SPACE EP,SPEARMINT
CROSSFADER DOMINATOR,SNIPER
SUPERSTAR,SUPERSTAR
RAP SCHOLAR,DAS EFX FEAT RED MAN
UNEXPLAINED,GRAVEDIGGAZ
UNFINISHED SYMPATHY,MASSIVE ATTACK
OFF THE HOOK,JODY WATLEY
MY ALL/BREAKDOWN,MARIAH CAREY
MUSIC MAKES YOU LOSE CONTROL,LES RYTHMES DIGITALES
GONE TIL NOVEMBER (IMPORT),WYCLEF JEAN
C'EST LA VIE,B'WITCHED
THE BOY IS MINE,BRANDY & MONICA
HORNY,MOUSSE T VS HOT'N'JUICY
UNDER THE BRIDGE/LADY MARMALADE,ALL SAINTS
COME BACK TO WHAT YOU KNOW,EMBRACE
STRANDED,LUTRICIA MCNEAL
KUNG FU FIGHTING,BUS STOP 
ICE HOCKEY HAIR,SUPER FURRY ANIMALS
GONE TILL NOVEMBER,WYCLEF JEAN
TURN BACK TIME,AQUA
DREAMS,CORRS
HE GOT GAME,PUBLIC ENEMY
HEAVEN'S WHAT I FEEL,GLORIA ESTEFAN
BOOM BOOM,N-TYCE
WISHING I WAS THERE,NATALIE IMBRUGLIA
LIFE AIN'T EASY,CLEOPATRA
RAY OF LIGHT,MADONNA
CURIOUS,LEVERT
TOO CLOSE,NEXT
FIGHT FOR YOUR RIGHT (TO PARTY),N.Y.C.C.
BEEN A LONG TIME,FOG
HOT STUFF,ARSENAL F.C.
RUNAGROUND,JAMES
OOH LA LA,ROD STEWART
DRINKING IN L.A.,BRAN VAN 3000
SAY YOU LOVE ME,SIMPLY RED
I WOULD FIX YOU,KENICKIE
EAT MY GOAL,COLLAPSED LUNG
AVA ADORE,SMASHING PUMPKINS
THE ABBEY ROAD EP,SPIRITUALIZED
DO YOU REALLY WANT ME,ROBYN
EVERYBODY HERE WANTS YOU,JEFF BUCKLEY
MAYBE I'M DEAD,MONEY MARK
DEEPER LOVE (SYMPHONIC PARADISE),B.B.E.
NIGHT FEVER,ADAM GARCIA
ANYTIME,BRIAN MCKNIGHT
MADE IT BACK,BEVERLEY KNIGHT 
ALL THE MAN THAT I NEED,SHERNETTE MAY
THE BUSINESS,BRIAN MAY
HOKUS POKUS,INSANE CLOWN POSSE
SCOTLAND BE GOOD,TARTAN ARMY
OOH LA LA,WISEGUYS
ALL MY LOVE,QUEEN PEN 
SUNNY CAME HOME,SHAWN COLVIN
TEARDROP,MASSIVE ATTACK
SWEET JOHNNY,GORKY'S ZYGOTIC MYNCI
YOU THINK YOU OWN ME,HINDA HICKS
DEEPER LOVE,RUFF DRIVERZ
SLAIN BY ELF,URUSEI YATSURA
PUSH IT,GARBAGE
IF...,BLUETONES
THE HEROES,SHED SEVEN
STOP LISTENING,TANITA TIKARAM
SECRET LOVE,SHAH
MONEY GREEDY/BROKEN HOMES,TRICKY
YOU ARE SOMEBODY,FULL INTENTION
UNITED CALYPSO '98,REDS UNITED
PARADISE,MIRO
LONELY, CRYIN'
THE DAY OF YOUR LIFE,MIDGET
ILOVEROCKNROLL,JESUS AND MARY CHAIN
CHEMISSINYADISS,SILVAH BULLET
SUMMER HERE KIDS,GRANDADDY
MOVIN' ON,DEBBIE PENDER
MEAT PIE SAUSAGE ROLL,GRANDAD ROBERTS
LONDON RAIN,HEATHER NOVA
GO AWAY,COLD
CAN YOU FEEL IT,C.L.S.
SONNET,VERVE
SCATTER & SWING,LIONROCK
COLOURED CITY,LAURENT GARNIER
3 LIONS '98,BADDIEL
VINDALOO,FAT LES
GHETTO SUPASTAR [THAT IS WHAT YOU ARE],PRAS MICHEL 
INTERGALACTIC,BEASTIE BOYS
SAVE TONIGHT,EAGLE-EYE CHERRY
GOT THE FEELIN',FIVE
LOOKING FOR LOVE,KAREN RAMIREZ
HOW DO YOU WANT ME TO LOVE YOU?,911
CARNAVAL DE PARIS,DARIO G
LOST IN SPACE,LIGHTHOUSE FAMILY
LIFE,DES'REE
THE ROCKAFELLER SKANK,FATBOY SLIM
SAY IT ONCE,ULTRA
SURFIN' USA,AARON CARTER
BEGIN AGAIN,SPACE
NAKED IN THE RAIN '98,BLUE PEARL
THINKING OF YOU,HANSON
DIVA,DANA INTERNATIONAL
WORLD CUP '98 - PAVANE BY FAURE,WIMBLEDON CHORAL SOCIETY
ZORBA'S DANCE,LCD
MY ALL,MARIAH CAREY
GO DEEP,JANET JACKSON
FUEL,METALLICA
BAD GIRL,DJ RAP
WHISTLE DOWN THE WIND,TINA ARENA
THE STRUTT,BAMBOO
BODY BUMPIN' (YIPPIE-YI-YO),PUBLIC ANNOUNCEMENT
CIRCUS,ERIC CLAPTON
CLOSEST THING TO HEAVEN,LIONEL RICHIE
SHORTY (YOU KEEP PLAYIN' WITH MY MIND),IMAJIN 
CRESCENT MOON,LYNDEN DAVID HALL
HAPPENIN' ALL OVER AGAIN,TRACY SHAW
NO MATTER WHAT I DO,WILL MELLOR
DO FOR LOVE,2 PAC
(HOW DOES IT FEEL TO BE) ON TOP OF THE..,ENGLAND UNITED
GIMME LOVE,ALEXIA
BLACK WHITE,ASIAN DUB FOUNDATION
DON'T COME HOME TOO SOON,DEL AMITRI
RISE UP,JAMAICA UNITED
WHAT WOULD YOU DO IF...?,CODE RED
NAGASAKI BADGER,DISCO CITIZENS
WHEN,SHANIA TWAIN
THE GREAT ESCAPE,ENGLAND SUPPORTERS BAND
SECOND ROUND K.O.,CANIBUS
THE CITY IS MINE,JAY-Z FEAT BLACKSTREET
MASQUERADE,GERIDEAU
3:00 AM,MATCHBOX 20
PERSONAL FEELING,AUDIOWEB
SOBER,DRUGSTORE
FOUR BIG SPEAKERS,WHALE FEATURING BUS 75
NO GOOD FOR ME,BRUCE WAYNE
SWING MY WAY,K.P. & ENVYI
PLAY THAT FUNKY MUSIC,THUNDER
CAN'T SEE ME,IAN BROWN
TRAVELLING MAN,STUDIO 2
THREE DRIVES EP,GREECE 2000
PRODUCT OF SOCIETY,SHARKEY
LOCO,COAL CHAMBER
STARDUST,THOMAS BANGALTER
BANG ON!,PROPELLERHEADS
A CHANGE OF HEART,BERNARD BUTLER
SING-A-LONG,A
WATER,FATHERS OF SOUND
KICK IT,REGGAE BOYZ
TASTY BIG ED,FUZZ TOWNSHEND
COME WITH ME,PUFF DADDY & JIMMY PAGE
CONTACT...,EAT STATIC
UMBABARAUMA,SOULFLY
THE RASCAL KING,MIGHTY MIGHTY BOSSTONES
VIVA FOREVER,SPICE GIRLS
JUST THE TWO OF US,WILL SMITH
FREAK ME,ANOTHER LEVEL
DEEPER UNDERGROUND,JAMIROQUAI
MY OH MY,AQUA
LIFE IS A FLOWER,ACE OF BASE
BECAUSE WE WANT TO,BILLIE
STRANGE GLUE,CATATONIA
MONEY,CHARLI BALTIMORE
TEARDROPS,LOVESTATION
IMMORTALITY,CELINE DION WITH THE BEE GEES
YOU'RE THE ONE THAT I WANT,J. TRAVOLTA & O. NEWTON-JOHN
MAS QUE NADA,ECHOBEATZ
CAFE DEL MAR '98,ENERGY 52
NEW KIND OF MEDICINE,ULTRA NATE
KISS THE GIRL,PETER ANDRE
I WASN'T BUILT TO GET UP,SUPERNATURALS
BE CAREFUL,SPARKLE FEATURING R KELLY
I THINK I'M PARANOID,GARBAGE
THE HEART'S LONE DESIRE,MATTHEW MARSDEN
MAS QUE MANCADA,RONALDO'S REVENGE
LOVER,RACHEL MCFARLANE
RENDEZ-VOUS 98,JEAN MICHEL JARRE & APOLLO 440
OH ROMEO,MINDY MCCREADY
CAN'T LET HER GO,BOYZ II MEN
I DON'T WANT TO WAIT,PAULA COLE
TELL ME,BILLIE MYERS
BURNIN',K-KLASS
SOUL BOSSA NOVA,COOL
IRIS,GOO GOO DOLLS
VIDEO KILLED THE RADIO STAR,PRESIDENTS OF THE USA
SAME TEMPO,CHANGING FACES
THIS IS HOW WE PARTY,S.O.A.P.
YOU'LL NEVER WALK ALONE,CARRERAS
FLAGPOLE SITTA,HARVEY DANGER
IN IT FOR LOVE,RICHIE SAMBORA
TURN AROUND,FAB!
ANGEL,MASSIVE ATTACK
RUNNIN',2PAC & NOTORIOUS B.I.G.
I'LL HOUSE YOU '98,JUNGLE BROTHERS
LEGACY EP,MANSUN
MUSIC SOUNDS BETTER WITH YOU,STAR DUST
SIMPLE MAN,WINK 
HEART OF GOLD,FORCE AND STYLES
TAKE CONTROL,STATE OF MIND
DOG IN THE PIANO,INDIAN ROPEMAN
THIS LOVE,CRAIG ARMSTRONG 
EVERYONE SAYS YOU'RE SO FRAGILE,IDLEWILD
JAYOU,JURASSIC 5
STRONG,LIQUID
IF THE RIVER CAN BEND,ELTON JOHN
LOVE (LOVED),LUKE SLATER
INSIDE YOUR ARMS,AMBROSIA
IF YOU TOLERATE THIS YOUR CHILDREN...,MANIC STREET PREACHERS
ONE FOR SORROW,STEPS
NO MATTER WHAT,BOYZONE
MUSIC SOUNDS BETTER WITH YOU,STARDUST
FINALLY FOUND,HONEYZ
GOD IS A DJ,FAITHLESS
EVERYTHING'S GONNA BE ALRIGHT,SWEETBOX
DROWNED WORLD (SUBSTITUTE FOR LOVE),MADONNA
MYSTERIOUS TIMES,SASH! 
REAL GOOD TIME,ALDA
BEING A GIRL (PART ONE) EP,MANSUN
I WANT YOU BACK,CLEOPATRA
THE AIR THAT I BREATHE,SIMPLY RED
MORNING AFTERGLOW,ELECTRASY
EYES DON'T LIE,TRUCE
COME WITH ME,PUFF DADDY 
LOST IN SPACE,APOLLO FOUR FORTY
IT'S TRUE,QUEEN PEN
FOR AN ANGEL,PAUL VAN DYK
ROCK WITH YOU,D'INFLUENCE
NEEDIN' U,DAVID MORALES PTS THE FACE
HONEY,MOBY
SPECIAL KIND OF SOMETHING,KAVANA
MUSIC IS THE ANSWER (DANCIN' & PRANCIN'),DANNY TENAGLIA & CELEDA
I CAN'T HELP MYSELF,LUCID
I AM,SUGGS
PURE MORNING,PLACEBO
CRY TO BE FOUND,DEL AMITRI
WALKING AFTER YOU/BEACON LIGHT,FOO FIGHTERS
MY WEAKNESS IS NONE OF YOUR BUSINESS,EMBRACE
I CAN'T MAKE A MISTAKE,MC LYTE
MAKE IT HOT,NICOLE 
IF YOU'LL BE MINE,BABYBIRD
I WANNA BE YOUR LADY,HINDA HICKS
STORM,STORM
ROCKS,ROD STEWART
IN MY LIFE,JOSE NUNEZ 
LET THE MUSIC HEAL YOUR SOUL,BRAVO ALL STARS
PART OF THE PROCESS,MORCHEEBA
AIN'T NO MOUNTAIN HIGH ENOUGH,JOCELYN BROWN
LOVE UNLIMITED,FUN LOVIN' CRIMINALS
WILL YOU BE WITH ME/LOVE IS THE GOD,MARIA NAYLER
HIT 'EM WIT DA HEE,MISSY MISDEMEANOR ELLIOTT
EL NINO,AGNELLI & NELSON
FIND A WAY,A TRIBE CALLED QUEST
BORA BORA,DA HOOL
I'VE HAD ENOUGH,HILLMAN MINX
I WANNA LOVE YOU,SOLID HARMONIE
YOU MAKE ME FEEL LIKE DANCING,GROOVE GENERATION 
DON'T LEAVE ME,MALANDRA BURROWS
THE DAY WILL COME,QUAKE FEAT MARCIA RAE
LET'S GET TOGETHER (IN OUR MINDS),GORKY'S ZYGOTIC MYNCI
THE ULTIMATE,FUNKY CHOAD FEAT NICK SKITZ
AMAZON CHANT,AIRSCAPE
GRASS AIN'T GREENER,DE-RYUS
U GOT THE PASSION,TOM WILSON
NO REALITY/SCANNERS,RAM TRILOGY - CHAPTER ONE
OBELIX,TERRA FERMA 
LAURA,NEK
STARDUST MEDLEY WITH GYM TONIC,GROOVY 69
LOVE ME SWEET,KID LOCO 
I DON'T WANNA KNOW,JULIAN LENNON
ROLLERCOASTER,B'WITCHED
PERFECT 10,BEAUTIFUL SOUTH
DOO WOP (THAT THING),LAURYN HILL
I WANT YOU BACK,MELANIE B 
SEX ON THE BEACH,T-SPOON
MILLENNIUM,ROBBIE WILLIAMS
I DON'T WANT TO MISS A THING,AEROSMITH
CRUSH,JENNIFER PAIGE
RELAX,DEETAH
JESUS SAYS,ASH
SOMEONE LOVES YOU HONEY,LUTRICIA MCNEAL
ADIA,SARAH MCLACHLAN
THE INCIDENTALS,ALISHA'S ATTIC
FROM RUSH HOUR WITH LOVE,REPUBLICA
THE WAY,FASTBALL
EVERYBODY GET UP,FIVE
JOSEPHINE,TERRORVISION
BOOTIE CALL,ALL SAINTS
SEARCHING FOR A SOUL,CONNER REEVES
THE DON,187 LOCKDOWN
THE FUTURE OF THE FUTURE (STAY GOLD),DEEP DISH WITH EBTG
NO TENGO DINERO,LOS UMBRELLOS
THE FREAKS COME OUT,CEVIN FISHER'S BIG FREAK
HALF ON A BABY,R KELLY
YOU SHOULD BE MINE,BRIAN MCKNIGHT
SUNDANCE '98,SUNDANCE
KINETIC,GOLDEN GIRLS
HORSE & CARRIAGE,CAM'RON 
GENERATION SEX,DIVINE COMEDY
LAST STOP:THIS TOWN,EELS
MY FAVORITE MISTAKE,SHERYL CROW
I'VE GOT THIS FEELING,MAVERICKS
CELEBRITY SKIN,HOLE
ARE YOU THAT SOMEBODY?,AALIYAH
STARSKY & HUTCH - THE THEME,ANDY G'S STARSKY
I'LL SEE YOU AROUND,SILVER SUN
THE OMD REMIXES,OMD
DON'T RUSH (TAKE LOVE SLOWLY),K-CI & JOJO
A PERFECT DAY ELISE,P J HARVEY
ALARMA,666
ONLY WHEN I LOSE MYSELF,DEPECHE MODE
EVERY SINGLE DAY,DODGY
SUNMACHINE,DARIO G
BUFFALO GALS STAMPEDE,MALCOLM MCLAREN
SOMETIMES,TIN TIN OUT 
RAINBOWS OF COLOUR,GROOVERIDER
WATER WAVE,MARK VAN DALE WITH ENRICO
PLEASE,CHRIS ISAAK
TRUE STORIES,KRUST
HIGHLIGHTS,BACKYARD BABIES
TRADE EP 2,VARIOUS ARTISTS
KILL THE PAIN,UNIVERSAL
WISHING ON A STAR,RANDY CRAWFORD
SUPERTHUG,NOREAGA
BITTER MOON,MARK KING
SOOTHE,FURRY PHREAKS 
MICROWAVED,PITCHSHI
PSYCHOUT,SLACKER
THE WEAKER ARGUMENT DEFEATS THE STRONGER,DELGADOS
NO MATTER WHAT,PARADOX 
BELIEVE,CHER
OUTSIDE,GEORGE MICHAEL
WOULD YOU...?,TOUCH AND GO
SWEETEST THING,U2
GUESS I WAS A FOOL,ANOTHER LEVEL
BLUE ANGELS,PRAS
I JUST WANNA BE LOVED,CULTURE CLUB
THANK U,ALANIS MORISSETTE
GIRLFRIEND,BILLIE
LITTLE BIT OF LOVIN',KELE LE ROC
TESTIFY,M PEOPLE
TELL ME MA,SHAM ROCK
BODY MOVIN',BEASTIE BOYS
GYM AND TONIC,SPACEDUST
GANGSTER TRIPPIN,FATBOY SLIM
WHAT'S YOUR SIGN?,DES'REE
MORE THAN A WOMAN,911
HOW DEEP IS YOUR LOVE,DRU HILL
SHE'S GONE,MATTHEW MARSDEN
FRIEND OF MINE,KELLY PRICE
