song_title,artist_name
WHISPERING YOUR NAME,ALISON MOYET
ONLY TO BE WITH YOU,ROACHFORD
RENAISSANCE,M PEOPLE
JAM J,JAMES
I BELIEVE,SOUNDS OF BLACKNESS
DREAM ON DREAMER,BRAND NEW HEAVIES
BEST YEARS OF MY LIFE,DIANA ROSS
I CAN SEE CLEARLY NOW,JIMMY CLIFF
ANOTHER SAD LOVE SONG,TONI BRAXTON
I WAS RIGHT AND YOU WERE WRONG,DEACON BLUE
DO YOU REMEMBER THE FIRST TIME?,PULP
KEEP GIVIN' ME YOUR LOVE,CE CE PENISTON
C'EST LA VIE,UB40
GOOD AS GOLD,BEAUTIFUL SOUTH
VIOLENTLY HAPPY,BJORK
SHAPES THAT GO TOGETHER,A-HA
HAVE MERCY,YAZZ
SKIP TO MY LU,LISA LISA
INSOMNIAC,ECHOBELLY
MONEY,BACKBEAT BAND
ROCKS/FUNKY JAM,PRIMAL SCREAM
LET'S FACE THE MUSIC AND DANCE,NAT KING COLE
YOU KNOW HOW WE DO IT,ICE CUBE
OH CAROL!,GENERAL SAINT FEAT DON CAMPBEL
WINGS OF LOVE,BONE
HOLLOW MAN,MARILLION
LOOK WHO'S TALKING,DR ALBAN
HOUSE OF LOVE (IN THE HOUSE),SMOOTH TOUCH
FALLIN',TEENAGE FANCLUB & DE LA SOUL
SO MUCH IN LOVE,ALL-4-ONE
PRETTY GOOD YEAR,TORI AMOS
AGAIN/I WANT YOU,JULIET ROBERTS
BECAUSE OF LOVE,JANET JACKSON
GROOVE THANG,ZHANE
NEVER LET YOU GO,NKOTB
STICKS AND STONES,CUD
LET'S GO ROUND AGAIN,AVERAGE WHITE BAND
ONE MORE TIME,WHYCLIFFE
A FAIR AFFAIR,MISTY OLDLAND
MURDER SHE WROTE,CHAKA DEMUS & PLIERS
WORLD OF OUR OWN,JUDITH DURHAM
THERE BUT FOR THE GRACE OF GOD,FIRE ISLAND
TE AMO,SULTANA
TEENAGE SENSATION,CREDIT TO THE NATION
HOBO HUMPIN SLOBO BABE,WHALE
GLAM ROCK COPS,CARTER UNSTOPPABLE SEX MACHINE
THE HEART ASKS PLEASURE FIRST,MICHAEL NYMAN
SWITCH,SENSER
LOVE COME DOWN,ALISON LIMERICK
I'M OUTSTANDING,SHAQUILLE O'NEAL
AFTERGLOW,MISSION
THE MORE YOU IGNORE ME, THE CLOSER I GET
CHEAP THRILLS,NEW KINGDOM
I'M BROKEN,PANTERA
DIM,DADA
PROCESS OF ELIMINATION,ERIC GABLE
PANIC ON,MADDER ROSE
I WANT TO THANK YOU,ROBIN S
CHANGE YOUR MIND,EVE GALLAGHER
U.N.I.T.Y.,QUEEN LATIFAH
THE REAL THING,TONY DI BART
THE MOST BEAUTIFUL GIRL IN THE WORLD,(SYMBOL)
SWEETS FOR MY SWEET,C J LEWIS
MMM MMM MMM MMM,CRASH TEST DUMMIES
INSIDE,STILTSKIN
ALWAYS,ERASURE
LIGHT MY FIRE,CLUBHOUSE
COME ON YOU REDS,MANCHESTER UTD FOOTBALL SQUAD
DEDICATED TO THE ONE I LOVE,BITTY MCLEAN
JUST A STEP FROM HEAVEN,ETERNAL
