year,month,rank,artist,song,romance_score,political_score,sad_score
1961,3,1,petulaclark,sailor,4,9,0
1961,3,2,elvispresley,areyoulonesometonight,3,23,3
1961,3,10,neilsedaka,calendargirl,0,18,0
1961,3,18,conniefrancis,manytearsago,0,13,2
1961,3,19,brendalee,letsjumpthebroomstick,0,13,0
1961,3,26,cliffrichard,iloveyou,4,9,0
1961,3,32,beneking,firsttasteoflove,3,21,3
1961,3,34,elvispresley,itsnowornever,6,12,3
1961,3,40,buddyholly,whattodo,0,8,0
1961,3,45,conwaytwitty,cestsibon,4,21,0
1961,3,48,shirleybassey,aslongasheneedsme,0,14,0
1961,4,3,cliffrichard,themeforadream,4,11,3
1961,4,16,petulaclark,sailor,4,9,0
1961,4,17,neilsedaka,calendargirl,0,18,0
1961,4,18,elvispresley,areyoulonesometonight,3,23,3
1961,4,19,brendalee,letsjumpthebroomstick,0,13,0
1961,4,33,cliffrichard,geewhizitsyou,0,14,3
1961,4,35,chubbychecker,ponytime,0,16,0
1961,4,37,beneking,firsttasteoflove,3,21,3
1961,4,48,genepitney,iwannalovemylifeaway,4,24,2
1961,5,6,cliffrichard,geewhizitsyou,0,14,3
1961,5,11,cliffrichard,themeforadream,4,11,3
1961,5,26,genepitney,iwannalovemylifeaway,4,24,2
1961,5,33,franksinatra,myblueheaven,0,23,0
1961,5,34,petulaclark,sailor,4,9,0
1961,5,36,chubbychecker,ponytime,0,16,0
1961,5,41,neilsedaka,calendargirl,0,18,0
1961,5,42,brendalee,letsjumpthebroomstick,0,13,0
1961,5,44,elvispresley,areyoulonesometonight,3,23,3
1961,5,48,delshannon,runaway,2,11,0
1961,6,1,elvispresley,surrender,9,25,3
1961,6,2,delshannon,runaway,2,11,0
1961,6,8,shirleybassey,youllneverknow,3,8,0
1961,6,15,cliffrichard,geewhizitsyou,0,14,3
1961,6,18,neilsedaka,littledevil,0,30,2
1961,6,27,royorbison,runningscared,0,18,0
1961,6,38,genepitney,iwannalovemylifeaway,4,24,2
1961,6,41,cliffrichard,themeforadream,4,11,3
1961,6,43,franksinatra,myblueheaven,0,23,0
1961,7,1,delshannon,runaway,2,11,0
1961,7,2,elvispresley,surrender,9,25,3
1961,7,9,royorbison,runningscared,0,18,0
1961,7,11,shirleybassey,youllneverknow,3,8,0
1961,7,13,cliffrichard,agirllikeyou,2,7,2
1961,7,17,neilsedaka,littledevil,0,30,2
1961,7,22,conniefrancis,breakinginabrandnewbrokenheart,0,14,0
1961,7,34,cliffrichard,geewhizitsyou,0,14,3
1961,8,3,delshannon,runaway,2,11,0
1961,8,5,cliffrichard,agirllikeyou,2,7,2
1961,8,11,royorbison,runningscared,0,18,0
1961,8,16,elvispresley,surrender,9,25,3
1961,8,19,conniefrancis,breakinginabrandnewbrokenheart,0,14,0
1961,8,21,shirleybassey,youllneverknow,3,8,0
1961,8,28,brendalee,dumdum,2,13,0
1961,8,31,bobbydarin,natureboy,3,27,2
1961,8,33,beneking,standbyme,3,17,0
1961,8,40,neilsedaka,littledevil,0,30,2
1961,8,45,samcooke,cupid,0,10,0
1961,9,15,cliffrichard,agirllikeyou,2,7,2
1961,9,18,samcooke,cupid,0,10,0
1961,9,20,delshannon,runaway,2,11,0
1961,9,25,brendalee,dumdum,2,13,0
1961,9,33,royorbison,runningscared,0,18,0
1961,9,36,elvispresley,surrender,9,25,3
1961,9,37,chubbychecker,letstwistagain,0,21,0
1961,9,49,shirleybassey,youllneverknow,3,8,0
1961,10,9,samcooke,cupid,0,10,0
1961,10,10,conniefrancis,together,7,27,0
1961,10,13,delshannon,hatsofftolarry,0,11,4
1961,10,34,franksinatra,granada,4,35,0
1961,11,4,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3,13,3
1961,11,6,delshannon,hatsofftolarry,0,11,4
1961,11,12,conniefrancis,together,7,27,0
1961,11,16,bobbydarin,youmusthavebeenabeautifulbaby,0,15,0
1961,11,19,raycharles,hittheroadjack,0,14,3
1961,11,20,franksinatra,granada,4,35,0
1961,11,34,samcooke,cupid,0,10,0
1961,11,49,beneking,amor,3,16,0
1961,12,8,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3,13,3
1961,12,12,raycharles,hittheroadjack,0,14,3
1961,12,19,bobbydarin,youmusthavebeenabeautifulbaby,0,15,0
1961,12,25,petulaclark,myfriendthesea,3,21,0
1961,12,29,natkingcole,lettruelovebegin,4,12,0
1961,12,34,rickynelson,everlovin,6,8,0
1961,12,39,franksinatra,thecoffeesong,0,34,0
1961,12,42,brendalee,foolnumberone,0,12,3
1961,12,44,delshannon,hatsofftolarry,0,11,4
1962,1,9,petulaclark,myfriendthesea,3,21,0
1962,1,11,bobbydarin,multiplication,2,24,0
1962,1,14,delshannon,solongbaby,2,12,0
1962,1,28,cliffrichard,whenthegirlinyourarmsisthegirlinyourheart,3,13,3
1962,1,30,conniefrancis,babysfirstchristmas,0,15,0
1962,1,39,raycharles,hittheroadjack,0,14,3
1962,1,43,natkingcole,lettruelovebegin,4,12,0
1962,1,50,chubbychecker,letstwistagain,0,21,0
1962,2,1,cliffrichard,theyoungones,4,20,0
1962,2,2,chubbychecker,letstwistagain,0,21,0
1962,2,7,bobbydarin,multiplication,2,24,0
1962,2,23,delshannon,solongbaby,2,12,0
1962,2,42,petulaclark,myfriendthesea,3,21,0
1962,3,2,cliffrichard,theyoungones,4,20,0
1962,3,3,chubbychecker,letstwistagain,0,21,0
1962,3,19,bobbydarin,multiplication,2,24,0
1962,3,25,shirleybassey,tonight,0,14,0
1962,4,4,royorbison,dreambaby,2,7,0
1962,4,5,chubbychecker,letstwistagain,0,21,0
1962,4,11,cliffrichard,theyoungones,4,20,0
1962,4,15,samcooke,twistinthenightaway,0,20,2
1962,4,18,delshannon,heylittlegirl,3,20,0
1962,4,36,shirleybassey,tonight,0,14,0
1962,4,37,genepitney,townwithoutpity,2,28,2
1962,4,48,rickynelson,youngworld,0,13,2
1962,5,3,royorbison,dreambaby,2,7,0
