year,month,rank,artist,song,romance_score
1974,7,22,isleybrothers,summerbreeze,5
1974,7,24,suziquatro,toobig,0
1974,7,25,neilsedaka,laughterintherain,13
1974,7,26,terryjacks,ifyougoaway,0
1974,7,28,davidbowie,diamonddogs,5
1974,7,31,badcompany,cantgetenough,3
1974,7,34,mottthehoople,foxyfoxy,10
1974,7,39,sparks,thistownaintbigenoughforbothofus,0
1974,7,40,paperlace,thenightchicagodied,0
1974,7,46,staplesingers,ifyourereadycomegowithme,0
1974,8,8,stylistics,youmakemefeelbrandnew,0
1974,8,9,sparks,amateurhour,3
1974,8,10,terryjacks,ifyougoaway,0
1974,8,18,neilsedaka,laughterintherain,13
1974,8,23,lobo,idloveyoutowantme,8
1974,8,24,trex,lightoflove,0
1974,8,28,10cc,wallstreetshuffle,0
1974,8,37,abba,ringring,4
1974,8,40,leosayer,onemanband,5
1974,8,46,suziquatro,toobig,0
1974,8,48,gordonlightfoot,sundown,0
1974,8,50,raystevens,thestreak,0
1974,9,4,carldouglas,kungfufighting,0
1974,9,6,stylistics,youmakemefeelbrandnew,0
1974,9,7,johndenver,anniessong,6
1974,9,16,kcandthesunshineband,queenofclubs,0
1974,9,22,paperlace,theblackeyedboys,0
1974,9,27,bryanferry,smokegetsinyoureyes,7
1974,9,28,catstevens,anothersaturdaynight,0
1974,9,34,robertaflack,feellikemakinlove,5
1974,9,35,sparks,amateurhour,3
1974,9,41,gordonlightfoot,sundown,0
1974,9,42,gilbertosullivan,awomansplace,0
1974,10,1,carldouglas,kungfufighting,0
1974,10,2,johndenver,anniessong,6
1974,10,4,leosayer,longtallglasses,3
1974,10,10,kcandthesunshineband,queenofclubs,0
1974,10,12,paperlace,theblackeyedboys,0
1974,10,15,eltonjohn,thebitchisback,0
1974,10,19,bryanferry,smokegetsinyoureyes,7
1974,10,24,10cc,sillylove,9
1974,10,29,paulanka,yourehavingmybaby,5
1974,10,32,catstevens,anothersaturdaynight,0
1974,10,40,stylistics,youmakemefeelbrandnew,0
1974,10,42,dianaross,loveme,11
1974,10,45,robertaflack,feellikemakinlove,5
1974,11,2,slade,farfaraway,0
1974,11,3,davidessex,gonnamakeyouastar,0
1974,11,5,queen,killerqueen,3
1974,11,7,paulanka,yourehavingmybaby,5
1974,11,14,stylistics,letsputitalltogether,11
1974,11,15,roxymusic,alliwantisyou,0
1974,11,16,sparks,neverturnyourbackonmotherearth,0
1974,11,24,johndenver,anniessong,6
1974,11,31,leosayer,longtallglasses,3
1974,11,37,carldouglas,kungfufighting,0
1974,11,49,genepitney,blueangel,10
1974,11,50,kcandthesunshineband,queenofclubs,0
1974,12,2,davidessex,gonnamakeyouastar,0
1974,12,8,elvispresley,myboy,3
1974,12,9,queen,killerqueen,3
1974,12,16,suziquatro,thewildone,4
1974,12,21,donnyosmond,wheredidallthegoodtimesgo,3
1974,12,25,kcandthesunshineband,soundyourfunkyhorn,0
1974,12,30,stylistics,letsputitalltogether,11
1974,12,34,statusquo,downdown,0
1974,12,50,gloriagaynor,nevercansaygoodbye,3
1975,1,5,elvispresley,myboy,3
1975,1,10,statusquo,downdown,0
1975,1,12,gilbertosullivan,christmassong,3
1975,1,20,davidessex,gonnamakeyouastar,0
1975,1,23,gloriagaynor,nevercansaygoodbye,3
1975,1,24,kcandthesunshineband,soundyourfunkyhorn,0
1975,1,26,davidessex,stardust,3
1975,1,28,wizzard,areyoureadytorock,0
1975,1,39,queen,killerqueen,3
1975,1,42,suziquatro,thewildone,4
1975,1,46,donnyosmond,wheredidallthegoodtimesgo,3
1975,1,47,georgeharrison,dingdongdingdong,3
1975,2,4,gloriagaynor,nevercansaygoodbye,3
1975,2,6,statusquo,downdown,0
1975,2,9,elvispresley,promisedland,0
1975,2,11,wizzard,areyoureadytorock,0
1975,2,12,steviewonder,boogieonreggaewoman,3
1975,2,15,carpenters,pleasemrpostman,5
1975,2,16,davidessex,stardust,3
1975,2,18,helenreddy,angiebaby,0
1975,2,20,queen,nowimhere,3
1975,2,22,sparks,somethingforthegirlwitheverything,3
1975,2,24,stylistics,staronatvshow,0
1975,2,31,elvispresley,myboy,3
1975,2,32,johnnymathis,imstoneinlovewithyou,3
1975,2,50,davidessex,gonnamakeyouastar,0
1975,3,3,carpenters,pleasemrpostman,5
1975,3,14,helenreddy,angiebaby,0
1975,3,18,stylistics,staronatvshow,0
1975,3,19,johnnymathis,imstoneinlovewithyou,3
1975,3,20,queen,nowimhere,3
1975,3,21,slade,howdoesitfeel,0
1975,3,24,supertramp,dreamer,0
1975,3,26,barrymanilow,mandy,8
1975,3,29,davidbowie,youngamericans,5
1975,3,34,elvispresley,promisedland,0
1975,3,39,suziquatro,yourmamawontlikeme,0
1975,3,41,steviewonder,boogieonreggaewoman,3
1975,3,48,gloriagaynor,nevercansaygoodbye,3
1975,3,50,sparks,somethingforthegirlwitheverything,3
1975,4,6,barrywhite,whatamigonnadowithyou,3
1975,4,14,gloriagaynor,reachoutillbethere,0
1975,4,20,barrymanilow,mandy,8
1975,4,22,supertramp,dreamer,0
1975,4,23,labelle,ladymarmalade,0
1975,4,27,johnnymathis,imstoneinlovewithyou,3
1975,4,28,davidbowie,youngamericans,5
1975,4,33,kcandthesunshineband,getdowntonight,0
1975,4,34,badcompany,goodlovingonebad,0
1975,4,35,neilsedaka,thequeenof1964,12
1975,4,43,dianaross,sorrydoesntalwaysmakeitright,3
1975,4,44,carpenters,pleasemrpostman,5
1975,4,49,10cc,lifeisaminestrone,0
1975,5,7,10cc,lifeisaminestrone,0
1975,5,18,carpenters,onlyyesterday,10
1975,5,23,tammywynette,standbyyourman,11
1975,5,24,kcandthesunshineband,getdowntonight,0
1975,5,26,labelle,ladymarmalade,0
1975,5,27,dianaross,sorrydoesntalwaysmakeitright,3
1975,5,48,johnlennon,standbyme,0
1975,6,2,tammywynette,standbyyourman,11
1975,6,4,stylistics,singbabysing,3
1975,6,6,judycollins,sendintheclowns,0
1975,6,8,10cc,imnotinlove,0
1975,6,9,statusquo,rolloverlaydown,0
1975,6,19,ericclapton,swinglowsweetchariot,3
1975,6,20,hotchocolate,discoqueen,5
1975,6,26,carpenters,onlyyesterday,10
1975,6,32,elvispresley,trouble,5
1975,6,34,johnlennon,standbyme,0
1975,6,43,andywilliams,youlaysoeasyonmymind,15
1975,6,49,doobiebrothers,takemeinyourarms,8
1975,7,1,10cc,imnotinlove,0
1975,7,5,raystevens,misty,3
1975,7,14,gilbertosullivan,idontloveyoubutithinkilikeyou,3
1975,7,17,nazareth,mywhitebicycle,3
1975,7,22,hotchocolate,discoqueen,5
1975,7,25,tammywynette,standbyyourman,11
1975,7,26,stylistics,singbabysing,3
1975,7,27,eltonjohn,someonesavedmylifetonight,5
1975,7,28,beegees,jivetalkin,3
1975,7,29,judycollins,sendintheclowns,0
1975,7,30,tammywynette,divorce,0
1975,7,35,ericclapton,swinglowsweetchariot,3
1975,7,38,statusquo,rolloverlaydown,0
1975,7,39,doobiebrothers,takemeinyourarms,8
1975,7,43,andywilliams,youlaysoeasyonmymind,15
1975,7,49,bryanferry,yougotomyhead,3
1975,8,4,raystevens,misty,3
1975,8,5,beegees,jivetalkin,3
1975,8,6,smokie,ifyouthinkyouknowhowtoloveme,5
1975,8,18,tammywynette,divorce,0
1975,8,19,trex,newyorkcity,0
1975,8,24,10cc,imnotinlove,0
1975,8,31,sparks,getintheswing,9
1975,8,35,nazareth,mywhitebicycle,3
1975,8,38,abba,idoidoidoidoido,5
1975,8,41,davidbowie,fame,0
1975,8,48,kcandthesunshineband,thatsthewayilikeit,5
1975,9,1,rodstewart,sailing,3
1975,9,4,kcandthesunshineband,thatsthewayilikeit,5
1975,9,8,hotchocolate,achildsprayer,3
1975,9,11,leosayer,moonlighting,10
1975,9,17,davidbowie,fame,0
1975,9,19,smokie,ifyouthinkyouknowhowtoloveme,5
1975,9,21,procolharum,pandorasbox,6
1975,9,23,eagles,oneofthesenights,5
1975,9,34,beegees,jivetalkin,3
1975,9,36,badcompany,feellikemakinlove,0
1975,9,37,carpenters,solitaire,3
1975,9,39,steelydan,doitagain,3
1975,9,41,ericclapton,knockinonheavensdoor,0
1975,10,1,davidessex,holdmeclose,3
1975,10,2,rodstewart,sailing,3
1975,10,4,artgarfunkel,ionlyhaveeyesforyou,9
1975,10,5,leosayer,moonlighting,10
1975,10,14,fourseasons,wholovesyou,5
1975,10,16,abba,sos,11
1975,10,22,hotchocolate,achildsprayer,3
1975,10,24,procolharum,pandorasbox,6
1975,10,26,badcompany,feellikemakinlove,0
1975,10,28,kcandthesunshineband,thatsthewayilikeit,5
1975,10,34,raystevens,indianlovecall,6
1975,10,43,eltonjohn,islandgirl,5
1975,10,45,dobiegray,outonthefloor,0
1975,10,49,glencampbell,rhinestonecowboy,0
1975,11,1,artgarfunkel,ionlyhaveeyesforyou,9
1975,11,5,roxymusic,loveisthedrug,0
1975,11,6,abba,sos,11
1975,11,7,davidessex,holdmeclose,3
1975,11,10,glencampbell,rhinestonecowboy,0
1975,11,13,fourseasons,wholovesyou,5
1975,11,14,eltonjohn,islandgirl,5
1975,11,30,trex,dreamylady,0
1975,11,32,nataliecole,thiswillbe,10
1975,11,38,georgeharrison,you,5
1975,11,43,johnlennon,imagine,0
1975,11,50,eagles,lyineyes,14
1975,12,1,queen,bohemianrhapsody,3
1975,12,2,hotchocolate,yousexything,5
1975,12,4,rodstewart,thisoldheartofmine,3
1975,12,6,stylistics,nanaisthesaddestword,0
1975,12,10,johnlennon,imagine,0
1975,12,11,slade,inforapenny,0
1975,12,19,demisroussos,happytobeonanislandinthesun,10
1975,12,21,glencampbell,rhinestonecowboy,0
1975,12,24,davidbowie,goldenyears,8
1975,12,26,eagles,lyineyes,14
1975,12,29,roxymusic,loveisthedrug,0
1975,12,32,10cc,artforartssake,0
1975,12,33,elvispresley,greengreengrassofhome,5
1975,12,41,nazareth,holyroller,0
1975,12,50,davidessex,ificould,3
1976,1,1,queen,bohemianrhapsody,3
1976,1,6,demisroussos,happytobeonanislandinthesun,10
1976,1,7,hotchocolate,yousexything,5
1976,1,8,stylistics,nanaisthesaddestword,0
1976,1,9,davidbowie,goldenyears,8
1976,1,16,davidessex,ificould,3
1976,1,17,10cc,artforartssake,0
1976,1,24,rodstewart,thisoldheartofmine,3
1976,1,25,slade,inforapenny,0
1976,1,28,johnlennon,imagine,0
1976,1,29,abba,mammamia,8
1976,1,32,elvispresley,greengreengrassofhome,5
1976,1,36,franksinatra,ibelieveimgonnaloveyou,6
1976,1,37,carpenters,santaclausiscomintotown,0
1976,1,40,roxymusic,bothendsburning,0
1976,1,43,barrywhite,letthemusicplay,5
1976,2,1,abba,mammamia,8
1976,2,4,donnasummer,lovetoloveyoubaby,3
1976,2,6,queen,bohemianrhapsody,3
1976,2,11,electriclightorchestra,evilwoman,6
1976,2,16,barrywhite,letthemusicplay,5
1976,2,20,war,lowrider,0
1976,2,26,who,squeezebox,0
1976,2,27,paulsimon,50waystoleaveyourlover,5
1976,2,30,smokie,somethingsbeenmakingmeblue,4
1976,2,31,ojays,ilovemusic,12
1976,2,36,roxymusic,bothendsburning,0
1976,2,42,gloriagaynor,howhighthemoon,3
1976,2,43,bobdylan,hurricane,3
1976,2,45,slade,letscallitquits,3
1976,2,49,cliffrichard,missyounights,6
1976,3,7,statusquo,rain,3
1976,3,8,billyocean,lovereallyhurtswithoutyou,0
1976,3,11,who,squeezebox,0
1976,3,13,ojays,ilovemusic,12
1976,3,14,slade,letscallitquits,3
1976,3,17,smokie,somethingsbeenmakingmeblue,4
1976,3,19,cliffrichard,missyounights,6
1976,3,20,war,lowrider,0
1976,3,21,donnasummer,lovetoloveyoubaby,3
1976,3,24,abba,mammamia,8
1976,3,43,barrywhite,youseethetroublewithme,3
1976,3,44,eagles,takeittothelimit,4
1976,3,49,trex,londonboys,0
1976,3,50,emmylouharris,herethereandeverywhere,3
1976,4,2,barrywhite,youseethetroublewithme,3
1976,4,3,billyocean,lovereallyhurtswithoutyou,0
1976,4,8,beatles,yesterday,0
1976,4,11,10cc,immandyflyme,0
1976,4,13,eagles,takeittothelimit,4
1976,4,14,abba,fernando,7
1976,4,20,hotchocolate,dontstopitnow,15
1976,4,24,cliffrichard,missyounights,6
1976,4,25,dianaross,themefrommahoganydoyouknowwhereyouregoingto,5
1976,4,28,carpenters,theresakindofhush,5
1976,4,30,davidessex,citylights,0
1976,4,46,beatles,strawberryfieldsforever,12
1976,4,48,emmylouharris,herethereandeverywhere,3
1976,5,2,abba,fernando,7
1976,5,6,dianaross,themefrommahoganydoyouknowwhereyouregoingto,5
1976,5,8,10cc,immandyflyme,0
1976,5,13,ericcarmen,allbymyself,0
1976,5,15,hotchocolate,dontstopitnow,15
1976,5,23,barrywhite,youseethetroublewithme,3
1976,5,24,dianaross,lovehangover,3
1976,5,28,bellamybrothers,letyourloveflow,13
1976,5,37,carpenters,theresakindofhush,5
1976,5,43,rollingstones,fooltocry,3
1976,5,49,peterframpton,showmetheway,3
1976,5,50,elvispresley,hurt,3
1976,6,4,abba,fernando,7
1976,6,6,rollingstones,fooltocry,3
1976,6,7,bellamybrothers,letyourloveflow,13
1976,6,9,cliffrichard,devilwoman,5
1976,6,11,dianaross,lovehangover,3
1976,6,15,peterframpton,showmetheway,3
1976,6,18,dollyparton,jolene,6
1976,6,33,davidbowie,tvc15,0
1976,6,37,thinlizzy,theboysarebackintown,6
1976,6,41,elvinbishop,fooledaroundandfellinlove,3
1976,6,44,donnasummer,coulditbemagic,5
1976,7,4,bryanferry,letssticktogether,3
1976,7,8,thinlizzy,theboysarebackintown,6
1976,7,11,manhattans,kissandsaygoodbye,3
1976,7,13,dollyparton,jolene,6
1976,7,14,drhook,alittlebitmore,3
1976,7,15,peterframpton,showmetheway,3
1976,7,17,trex,ilovetoboogie,3
1976,7,24,queen,youremybestfriend,11
1976,7,27,donwilliams,irecallagypsywoman,5
1976,7,28,bellamybrothers,letyourloveflow,13
1976,7,29,hotchocolate,mantoman,5
1976,7,34,war,meandbabybrother,0
1976,7,38,abba,fernando,7
1976,7,40,rollingstones,fooltocry,3
1976,7,44,donnasummer,coulditbemagic,5
1976,7,45,tammywynette,idontwannaplayhouse,3
1976,7,49,electriclightorchestra,strangemagic,3
1976,7,50,carpenters,ineedtobeinlove,0
1976,8,2,drhook,alittlebitmore,3
1976,8,7,manhattans,kissandsaygoodbye,3
1976,8,10,isleybrothers,harvestfortheworld,0
1976,8,15,statusquo,mysterysong,3
1976,8,16,queen,youremybestfriend,11
1976,8,18,hotchocolate,mantoman,5
1976,8,20,beegees,youshouldbedancing,6
1976,8,21,beatles,backintheussr,6
1976,8,25,bryanferry,letssticktogether,3
1976,8,26,trex,ilovetoboogie,3
1976,8,29,donwilliams,irecallagypsywoman,5
1976,8,34,lourawls,youllneverfindanotherlovelikemine,0
1976,8,38,war,meandbabybrother,0
1976,8,47,starlandvocalband,afternoondelight,0
1976,9,1,abba,dancingqueen,3
1976,9,5,drhook,alittlebitmore,3
1976,9,12,lourawls,youllneverfindanotherlovelikemine,0
1976,9,13,beegees,youshouldbedancing,6
1976,9,18,starlandvocalband,afternoondelight,0
1976,9,25,hotchocolate,heavenisinthebackseatofmycadillac,5
1976,9,26,manfredmannsearthband,blindedbythelight,7
1976,9,28,statusquo,mysterysong,3
1976,9,29,pussycat,mississippi,6
1976,9,42,thinlizzy,jailbreak,0
1976,9,44,neildiamond,ifyouknowwhatimean,8
1976,9,49,bellamybrothers,satinsheets,0
1976,10,1,abba,dancingqueen,3
1976,10,3,pussycat,mississippi,6
1976,10,9,manfredmannsearthband,blindedbythelight,7
1976,10,25,jamesbrown,getupoffathatthing,0
1976,10,26,starlandvocalband,afternoondelight,0
1976,10,30,hotchocolate,heavenisinthebackseatofmycadillac,5
1976,10,33,lourawls,youllneverfindanotherlovelikemine,0
1976,10,35,demisroussos,whenforeverhasgone,10
1976,10,36,smokie,illmeetyouatmidnight,6
1976,10,40,manhattans,hurt,3
1976,10,43,peterframpton,babyiloveyourway,6
1976,10,44,beegees,youshouldbedancing,6
1976,10,47,trex,laserlove,0
1976,11,1,pussycat,mississippi,6
1976,11,2,chicago,ifyouleavemenow,0
1976,11,3,demisroussos,whenforeverhasgone,10
1976,11,4,manhattans,hurt,3
1976,11,10,wildcherry,playthatfunkymusic,3
1976,11,12,smokie,illmeetyouatmidnight,6
1976,11,13,abba,dancingqueen,3
1976,11,16,leosayer,youmakemefeellikedancing,0
1976,11,19,joanarmatrading,loveandaffection,3
1976,11,20,drhook,ifnotyou,0
1976,11,23,neildiamond,beautifulnoise,0
1976,11,24,davidessex,cominghome,0
1976,11,29,bonnietyler,lostinfrance,5
1976,11,34,bozscaggs,lowdown,3
1976,11,38,donwilliams,youremybestfriend,0
1976,11,50,peterframpton,doyoufeellikewedo,5
1976,12,2,chicago,ifyouleavemenow,0
1976,12,3,leosayer,youmakemefeellikedancing,0
1976,12,4,queen,somebodytolove,3
1976,12,5,electriclightorchestra,livinthing,3
1976,12,8,drhook,ifnotyou,0
1976,12,9,bonnietyler,lostinfrance,5
1976,12,10,pussycat,mississippi,6
1976,12,11,eltonjohn,sorryseemstobethehardestword,0
1976,12,14,johnnymathis,whenachildisborn,7
1976,12,15,neildiamond,beautifulnoise,0
1976,12,17,barrywhite,dontmakemewaittoolong,5
1976,12,20,wildcherry,playthatfunkymusic,3
1976,12,24,manhattans,hurt,3
1976,12,25,billyocean,stopmeifyouvehearditallbefore,0
1976,12,30,demisroussos,whenforeverhasgone,10
1976,12,31,joanarmatrading,loveandaffection,3
1976,12,38,smokie,livingnextdoortoalice,5
1976,12,40,cliffrichard,heymrdreammaker,3
1976,12,47,rodstewart,maggiemay,3
1976,12,50,fleetwoodmac,sayyouloveme,0
1977,1,1,johnnymathis,whenachildisborn,7
1977,1,4,queen,somebodytolove,3
1977,1,6,electriclightorchestra,livinthing,3
1977,1,9,smokie,livingnextdoortoalice,5
1977,1,16,chicago,ifyouleavemenow,0
1977,1,17,statusquo,wildsideoflife,3
1977,1,20,billyocean,stopmeifyouvehearditallbefore,0
1977,1,21,eltonjohn,sorryseemstobethehardestword,0
1977,1,22,steviewonder,iwish,7
1977,1,24,leosayer,youmakemefeellikedancing,0
1977,1,25,steelydan,haitiandivorce,0
1977,1,26,pussycat,mississippi,6
1977,1,27,bonnietyler,lostinfrance,5
1977,1,28,jethrotull,ringoutsolsticebells,0
1977,1,30,drhook,ifnotyou,0
1977,1,31,boneym,daddycool,0
1977,1,33,kcandthesunshineband,keepitcominlove,3
1977,1,36,rodstewart,maggiemay,3
1977,1,38,sexpistols,anarchyintheuk,0
1977,1,39,barrywhite,dontmakemewaittoolong,5
1977,1,42,cliffrichard,heymrdreammaker,3
1977,1,45,donnasummer,wintermelody,0
1977,1,46,roseroyce,carwash,3
1977,1,48,pussycat,smile,6
1977,1,49,elvispresley,suspicion,3
1977,1,50,bread,lostwithoutyourlove,3
1977,2,5,leosayer,whenineedyou,13
1977,2,6,boneym,daddycool,0
1977,2,9,elvispresley,suspicion,3
1977,2,10,roseroyce,carwash,3
1977,2,11,statusquo,wildsideoflife,3
1977,2,12,thinlizzy,dontbelieveaword,5
1977,2,13,steviewonder,iwish,7
1977,2,19,heatwave,boogienights,0
1977,2,20,eagles,newkidintown,3
1977,2,22,smokie,livingnextdoortoalice,5
1977,2,25,pussycat,smile,6
1977,2,27,bozscaggs,whatcanisay,7
1977,2,30,boston,morethanafeeling,5
1977,2,35,alstewart,yearofthecat,6
1977,2,36,bread,lostwithoutyourlove,3
1977,2,39,steelydan,haitiandivorce,0
1977,2,47,gordonlightfoot,thewreckoftheedmundfitzgerald,5
1977,2,48,slade,gypsyroadhog,3
1977,2,50,bryanferry,thisistomorrow,6
1977,3,1,leosayer,whenineedyou,13
1977,3,2,heatwave,boogienights,0
1977,3,10,bozscaggs,whatcanisay,7
1977,3,11,bryanferry,thisistomorrow,6
1977,3,15,davidbowie,soundandvision,4
1977,3,20,electriclightorchestra,rockaria,6
1977,3,21,boneym,daddycool,0
1977,3,22,earthwindandfire,saturdaynite,0
1977,3,23,elvispresley,suspicion,3
1977,3,26,roseroyce,carwash,3
1977,3,27,boston,morethanafeeling,5
1977,3,33,eltonjohn,crazywater,3
1977,3,38,fleetwoodmac,goyourownway,3
1977,3,40,elvispresley,moodyblue,4
1977,3,41,suziquatro,tearmeapart,3
1977,3,43,genesis,yourownspecialway,3
1977,3,44,stranglers,getagriponyourself,3
1977,3,45,cliffrichard,mykindalife,5
1977,3,48,alstewart,yearofthecat,6
1977,4,5,davidbowie,soundandvision,4
1977,4,6,elvispresley,moodyblue,4
1977,4,7,boneym,sunny,5
1977,4,10,heatwave,boogienights,0
1977,4,13,billyocean,redlightspellsdanger,0
1977,4,14,electriclightorchestra,rockaria,6
1977,4,16,cliffrichard,mykindalife,5
1977,4,18,smokie,laybackinthearmsofsomeone,6
1977,4,20,earthwindandfire,saturdaynite,0
1977,4,22,leosayer,whenineedyou,13
1977,4,27,suziquatro,tearmeapart,3
1977,4,28,bonnietyler,morethanalover,5
1977,4,31,queen,tieyourmotherdown,3
1977,4,32,bryanferry,thisistomorrow,6
1977,4,33,glencampbell,southernnights,5
1977,4,35,deniecewilliams,free,3
1977,4,36,eltonjohn,crazywater,3
1977,4,39,demisroussos,because,3
1977,4,42,andrewgold,lonelyboy,10
1977,4,46,clash,whiteriot,0
1977,4,47,roseroyce,iwannagetnexttoyou,12
1977,5,1,deniecewilliams,free,3
1977,5,2,steviewonder,sirduke,0
1977,5,3,billyocean,redlightspellsdanger,0
1977,5,10,leosayer,howmuchlove,5
1977,5,11,andrewgold,lonelyboy,10
1977,5,15,eagles,hotelcalifornia,8
1977,5,16,petergabriel,solsburyhill,8
1977,5,20,smokie,laybackinthearmsofsomeone,6
1977,5,21,deeppurple,smokeonthewater,0
1977,5,22,kennyrogers,lucille,8
1977,5,24,10cc,goodmorningjudge,5
1977,5,27,boneym,sunny,5
1977,5,28,roseroyce,iwannagetnexttoyou,12
1977,5,32,marvingaye,gottogiveitup,0
1977,5,33,fleetwoodmac,dontstop,5
1977,5,41,kcandthesunshineband,imyourboogieman,3
1977,5,50,jam,inthecity,3
1977,6,2,kennyrogers,lucille,8
1977,6,6,10cc,goodmorningjudge,5
1977,6,7,marvingaye,gottogiveitup,0
1977,6,11,sexpistols,godsavethequeen,0
1977,6,12,eagles,hotelcalifornia,8
1977,6,13,bozscaggs,lidoshuffle,0
1977,6,18,electriclightorchestra,telephoneline,5
1977,6,19,deniecewilliams,free,3
1977,6,21,petergabriel,solsburyhill,8
1977,6,23,jacksons,showyouthewaytogo,0
1977,6,25,trammps,discoinferno,0
1977,6,26,bryanferry,tokyojoe,6
1977,6,27,stranglers,peaches,5
1977,6,29,ramones,sheenaisapunkrocker,0
1977,6,32,shalamar,uptownfestival,5
1977,6,33,steviewonder,sirduke,0
1977,6,36,queen,goodoldfashionedloverboy,0
1977,6,40,jam,inthecity,3
1977,6,42,georgebenson,natureboy,0
1977,7,1,hotchocolate,soyouwinagain,0
1977,7,2,jacksons,showyouthewaytogo,0
1977,7,4,kennyrogers,lucille,8
1977,7,8,electriclightorchestra,telephoneline,5
1977,7,9,olivianewtonjohn,sam,0
1977,7,10,stranglers,peaches,5
1977,7,12,sexpistols,godsavethequeen,0
1977,7,14,boneym,mabaker,0
1977,7,15,bozscaggs,lidoshuffle,0
1977,7,17,queen,goodoldfashionedloverboy,0
1977,7,23,marvingaye,gottogiveitup,0
1977,7,28,georgebenson,natureboy,0
1977,7,32,10cc,goodmorningjudge,5
1977,7,36,tompettyandtheheartbreakers,anythingthatsrocknroll,0
1977,7,37,supertramp,givealittlebit,5
1977,7,43,commodores,easy,3
1977,7,45,ramones,sheenaisapunkrocker,0
1977,7,49,catstevens,rememberthedaysoftheoldschoolyard,10
1977,8,1,donnasummer,ifeellove,0
1977,8,3,boneym,mabaker,0
1977,8,4,hotchocolate,soyouwinagain,0
1977,8,7,smokie,itsyourlife,0
1977,8,8,sexpistols,prettyvacant,0
1977,8,11,commodores,easy,3
1977,8,15,stranglers,somethingbetterchange,0
1977,8,18,olivianewtonjohn,sam,0
1977,8,20,jam,allaroundtheworld,0
1977,8,22,queen,goodoldfashionedloverboy,0
1977,8,27,fleetwoodmac,dreams,0
1977,8,28,stranglers,peaches,5
1977,8,30,deniecewilliams,thatswhatfriendsarefor,0
1977,8,36,ramones,swallowmypride,0
1977,8,37,jacksons,showyouthewaytogo,0
1977,8,40,joewalsh,rockymountainway,0
1977,8,42,supertramp,givealittlebit,5
1977,8,43,carlysimon,nobodydoesitbetter,3
1977,8,46,peterframpton,iminyou,0
1977,9,1,elvispresley,waydown,3
1977,9,8,deniecewilliams,thatswhatfriendsarefor,0
1977,9,9,carlysimon,nobodydoesitbetter,3
1977,9,11,donnasummer,ifeellove,0
1977,9,17,stranglers,somethingbetterchange,0
1977,9,18,jam,allaroundtheworld,0
1977,9,19,boneym,mabaker,0
1977,9,20,smokie,itsyourlife,0
1977,9,30,jacksons,dreamer,3
1977,9,32,fleetwoodmac,dreams,0
1977,9,33,commodores,easy,3
1977,9,42,tompettyandtheheartbreakers,americangirl,7
1977,10,1,elvispresley,waydown,3
1977,10,12,carlysimon,nobodydoesitbetter,3
1977,10,16,yes,wonderousstories,5
1977,10,18,ramjam,blackbetty,0
1977,10,20,stranglers,nomoreheroes,0
1977,10,21,donnasummer,irememberyesterday,5
1977,10,25,leosayer,thunderinmyheart,5
1977,10,26,jacksons,dreamer,3
1977,10,31,deniecewilliams,thatswhatfriendsarefor,0
1977,10,32,steviewonder,anotherstar,5
1977,10,34,georgebenson,greatestloveofall,3
1977,10,35,roseroyce,doyourdance,0
1977,10,40,kennyrogers,daytimefriends,3
1977,10,47,rainbow,killtheking,0
1977,11,5,statusquo,rockinallovertheworld,0
1977,11,6,queen,wearethechampions,0
1977,11,10,carpenters,callingoccupantsofinterplanetarycraft,5
1977,11,11,ramjam,blackbetty,0
1977,11,13,smokie,needlesandpins,0
1977,11,14,stranglers,nomoreheroes,0
1977,11,18,yes,wonderousstories,5
1977,11,19,donnasummer,irememberyesterday,5
1977,11,22,beegees,howdeepisyourlove,13
1977,11,24,davidbowie,heroes,3
1977,11,25,santana,shesnotthere,3
1977,11,27,electriclightorchestra,turntostone,4
1977,11,30,elvispresley,waydown,3
1977,11,34,boneym,belfast,0
1977,11,39,georgebenson,greatestloveofall,3
1977,11,48,chicago,babywhatabigsurprise,3
1977,11,50,jacksons,goinplaces,0
1977,12,2,queen,wearethechampions,0
1977,12,3,statusquo,rockinallovertheworld,0
1977,12,5,beegees,howdeepisyourlove,13
1977,12,14,santana,shesnotthere,3
1977,12,16,smokie,needlesandpins,0
1977,12,17,carpenters,callingoccupantsofinterplanetarycraft,5
1977,12,19,boneym,belfast,0
1977,12,22,electriclightorchestra,turntostone,4
1977,12,23,hotchocolate,putyourloveinme,5
1977,12,24,yes,goingfortheone,3
1977,12,26,jacksons,goinplaces,0
1977,12,27,dianaross,gettinreadyforlove,6
1977,12,28,tubes,whitepunksondope,3
1977,12,29,crystalgayle,dontitmakemybrowneyesblue,8
1977,12,34,bonnietyler,itsaheartache,6
1977,12,36,donnasummer,lovesunkind,5
1977,12,39,davidbowie,heroes,3
1977,12,48,bingcrosby,whitechristmas,0
1978,1,3,beegees,howdeepisyourlove,13
1978,1,4,donnasummer,lovesunkind,5
1978,1,6,bonnietyler,itsaheartache,6
1978,1,8,crystalgayle,dontitmakemybrowneyesblue,8
1978,1,9,elvispresley,myway,0
1978,1,12,boneym,belfast,0
1978,1,14,hotchocolate,putyourloveinme,5
1978,1,16,bingcrosby,whitechristmas,0
1978,1,20,statusquo,rockinallovertheworld,0
1978,1,25,electriclightorchestra,turntostone,4
