1991,01,84,MADCHESTER RAVE ON (EP),HAPPY MONDAYS
1991,01,85,PRIMARY RHYMING,MC TUNES
1991,01,86,KEEP ON RUNNING,MILLI VANILLI
1991,01,87,LET ME HEAR YOU (SAY YEAH),PKA
1991,01,88,FOOL'S GOLD/WHAT THE WORLD IS WAITING FOR,THE STONE ROSES
1991,01,89,THE ANNIVERSARY WALTZ - PART ONE,STATUS QUO
1991,01,90,RHYTHM TAKES CONTROL,UNIQUE THREE
1991,01,91,ANTHEM,N-JOI
1991,01,92,GROOVY TRAIN,THE FARM
1991,01,93,SOUTH OF THE RIVER,MICA PARIS
1991,01,94,GROOVE IS IN THE HEART/WHAT IS LOVE?,DEEE-LITE
1991,01,95,LITTLE FLUFFY CLOUDS,THE ORB
1991,01,96,SOMETHING TO BELIEVE IN,POISON
1991,01,97,STEP ON,HAPPY MONDAYS
1991,01,98,THE ONLY ONE I KNOW,THE CHARLATANS
1991,01,99,100 MILES AND RUNNIN',NWA
1991,01,100,NOW IS TOMORROW,DEFINITION OF SOUND
1991,02,1,3AM ETERNAL FT THE CHILDREN OF THE REVOLUTION,KLF FEATURING THE CHILDREN OF THE REVOLUTION
1991,02,2,INNUENDO,QUEEN
1991,02,3,DO THE BARTMAN,SIMPSONS
1991,02,4,WIGGLE IT,2 IN A ROOM
1991,02,5,CRAZY,SEAL
1991,02,6,SADENESS PART 1,ENIGMA
1991,02,7,CRY FOR HELP,RICK ASTLEY
1991,02,8,HIPPY CHICK {1991},SOHO
1991,02,9,I BELIEVE,EMF
1991,02,10,GONNA MAKE YOU SWEAT FT FREEDOM WILLIAMS,C&C MUSIC FACTORY FEATURING FREEDOM WILLIAMS
1991,02,11,WHAT DO I HAVE TO DO,KYLIE MINOGUE
1991,02,12,I CAN'T TAKE THE POWER,OFF-SHORE
1991,02,13,MERCY MERCY ME/I WANT YOU,ROBERT PALMER
1991,02,14,(I WANNA GIVE YOU) DEVOTION FT MC MIKEE FREEDOM,NOMAD FEATURING MC MIKEE FREEDOM
