reg_exp
knock.*?out
fuck.*?up
gun.*?down
shoot.*?up
 kill
you.*?dead
stab
choke
rape
punch
clipped
gun
blow.*?brain
slit.*?throat
cut.*?throat
stomp
killin
buck.*?shot
drive by
stick.*?up
rob
i.*?steal your (?!heart)
i.*?steal his (?!heart)
i.*?steal her (?!heart)
