reg_exp
fuck
horny
sexy
intercourse
your.*?long legs
those.*?legs
thighs
penis
vagina
pussy
you.*?sweat
ass
baby
seductive
seduce
titty
boob
tit
booty
hoe
sex
let's.*?sweat
ride it
ride you
i.*?all night
let's.*?all night
till*.?dawn
until.*?dawn
come on.*?baby
do it.*?baby
