reg_exp
i hate(?! to leave| to go| to cancel| to have| to be).*?you
i hate(?! to leave| to go| to cancel| to have| to be).*?them
disgusting
suicide
die
death
maggot
mistake
ugly
black
sickness
rotten
evil
plague
cancer
away from me
screaming at
pain
don't need you
leave me
abortion
aborted
ache
sorrow
melanchol
empty inside
depressed
depression
sad
suffocate
can't breathe
claustrophobic
