reg_exp
my love
commitment
fond
tender.*?love
love.*?tender
you.*?warmth
warmth.*?your
dear
sweetheart
angel
honey
baby
adore
passion
devotion
compassion
relationship
friend
worship
kind
warm
beautiful
you.*?gorgeous
marriage
marry
family
babe
heaven
you.*?symphony
love you.*?forever
you.*?angel
my angel
you.*?happiness
always.*?love
wife
husband
darlin
