reg_exp
weed
cocaine
pills
poppin.*?molly
coke
lsd
powder
smoke
kilo
codeine
shroom
quaalude
xanax
morphine
drug
puff on
adderall
take.*?speed
ecstacy
poppin.*?pills
(?<!on the |in the )grass
puff puff pass
